node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00000001101000000000000010001100001000011100000100000011100011001110001110000101,,13,1,0,35.752
2,10010001010001111011000001010010000000111000010000000001000001000000110011111000,,16,6,0,31.153
2,10110011111001011001000111010001100000011000010000010001000000000000000110001000,,10,0,0,40.811
2,00110001101000000100000010000000001000010100000110001011100011011010011111001000,,9,0,0,36.474
2,00010100101000000100000010000100000000011100000110001010100001001000011100001101,11000011101100100001001010110011000001110000000011000010000110001001001001010010,14,1,0,33.087
2,00010001101000000100000010000100001000011100000110000001100011010010001110001100,00010011101101010101000010000100001000011100000110001000100011110010001110001100,12,0,0,0.406
2,10010001111000011010010111011001100000110000010000100001000000100000010110110100,,10,3,0,23.532
2,10110011111000001011000111010001100000111000000000000001000000100100000110010100,,10,1,0,32.754
2,00110000000000001000000011111001000101000110100110001001100001000000111001000011,,20,10,0,31.647
2,00110001101000000100000010001100001000011000000010001000100001011000011010001101,,12,0,0,33.012
2,00000001101000000000000000000100000000011100000110001010100011011010010111001100,01100111001111101101001010101011000001100000000001010000000110000010000000100110,13,0,0,4.528
2,00001110001000000100000010001000001000011100000010101001100011010011001100001101,,14,4,0,32.982
2,00001010101000000100000010001000000000011000000100001011100001011010001111011101,,11,1,0,37.916
2,00100001101000000100000010001100001000011100000110001001100011000010000100001100,,13,0,0,31.733
2,10010001101001011010000111000001100000111000010000000001001001000001110110001100,01100010011101101001010111100011000001100000100001010000000011110001100011001110,12,4,0,0.956
2,01110001101100000100000010001000000000011000000110001001100011011010001101001100,,11,2,0,32.03
2,00011001001000000000000010000000001000011100000110000011100010011000010100001100,01100011001101100011000111100011000001100000100001010010001010010000000101100100,15,0,0,0.047
2,00110001001000000000000000000010001000001100000100001011100011010000011101001100,,15,1,0,34.007
2,00101001001000000100000010000000001000011000000110000011100110011110011101001000,11010010001001111101001011100110001001100000110010000010001010000001000110100100,13,2,0,2.04
2,00110001101000000100000010000100001000000000000000001011000011011000010110001100,01100011001101101001101011001000000000000000000000010010000110000011100011001110,15,0,0,0.044
2,00110001101000000100000010001100000000011100000100001011100011011010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,6,0,1,0.026
2,00110011111000000010000001010001000000111000000000100001000000000000000110001000,,17,0,0,28.751
2,10110001111000011011000010010001100000111000010000010001000000100000010111000000,11000011011101100111101001000011000001100100101001001010001110000001000000001110,11,1,0,16.107
2,00111111101000000010000010010100001000011100000110001000010011011000001111001100,,11,5,0,26.626
2,00111001101000000100000000000000001000010100000100000011000010001000001111001101,11110011011000110001010011000001000001100000100001100001000010000011000011100110,14,0,0,0.23
2,00100001101000000100000010000100001000011100000110001010000011011010011111001101,11110111011101111001001010010111000001101000100001100010001110000001100010000110,8,0,0,0.032
2,00111001100000000100000010000100001000011100000000001001100011010000011111001000,00010011111000001111010110010001000000101000010000100001100010100000000110111100,12,0,0,0.421
2,00101001101000000100000000001100001000011100000110001010100011010000011011001101,10110011111101000101001110100011000101100000100001000000101110001011000010110110,9,0,0,10.804
2,10110011110001011001000111000001100000111000000000110001000000100000010110011000,,8,0,0,29.627
2,00110000101000000100000010001000000000011100000110000011100011111000000110001101,,11,0,0,25.61
2,00110010111000001001000111010000100000111000010000011001000000100000000110000100,11010011001001000001001011100001000111000000100001010010011010100001000010000110,13,1,0,20.206
2,00010001101000000000000010001100000000011100000100001010100011011010010111001000,11110010011101101001001010100011000011000001000011000010001110100011000001000110,12,0,0,1.82
2,00010001111001001011100101010001100000101000010000100001000000100000010010011000,11100010001101001011011010100101000101100100100001010010001110000001000001010100,12,1,0,18.255
2,00111001001000000000000000001100001000011100000010001011100011011010011111001101,11100011011101101001001011100011100000100100100101011000001110000001000011100100,7,0,0,1.451
2,00100001100000000100000010001100001000011100000110000011100011011010011101001100,,9,0,0,29.192
2,00011000100101000110000000000000001100011100000110000111110001111111000111101100,,13,9,0,26.876
2,00110000101000000100000000001000001000011100000010001011000011001010011001000101,10010001011100101001001011000011000000100110100001000000101010000011000011110010,13,0,0,9.923
2,00110001101000000000000000001000001000010100000110001011000010111010011111001100,11110011001011101001001111001001000001110100101001010100001010000000001011000110,10,0,0,8.648
2,00110001001000000000000000000000001000011000000100001001100001011010010111001101,00100011001000000101000000000011001100000011000011000110111010010110101011001110,14,0,0,9.054
2,00000001101000000100000010001000001000010100000110001011100011111010010110001001,01100010011111101011001011101001100001100101100001000010011010000101000000000110,10,0,0,0.751
2,00110000111000001011000101010000100000111000010000110001000000100000010100001100,11000011001111010011001010100011000101000000100011000110001110010001000011000011,12,0,0,7.511
2,00000000101000000100000010001000001000011100000110001010100011011000011111001101,11111011011101100001001110100011000001100000100001010010001010010011001011000010,10,0,0,0.188
2,00100001011000011011000011010000100100111000010000010001100001100100000100000000,,16,4,0,32.85
2,00011000001000000110000010001100001000001110000000001011100011111110011111001110,11110111101111111001101011101011100001000000100000000010001110100001100000100010,9,4,0,3.873
2,10110011010001001010000011000000000000011000010000010001000000100000010110011100,,13,0,0,26.924
2,10100011101000001011000111010001100000110000010000010011000000100000010110001100,01110001011111100011001011100001000001100000110000100011001010000011000011000110,10,1,0,3.948
2,00010001101000000100000000000100001000011100000110001010100011001000001110001100,10010001101000000101000000000100001010111100000110001010100011101010001110101100,13,0,0,27.418
2,00111001001000000100000000001000000000001100000000000011100011011010011111000101,01110011011111111001000011100011000000000010000000000101001010000011000011100100,12,0,0,4.474
2,00101001101000000100000010000100001000000100000000001011100010010010011111001000,,13,0,0,43.375
2,00001000001000000000000010001100001000011000000100001010100001000000011110001001,00000100001000000101110001000011001100000010000001001101011010010100101001000111,17,0,0,2.61
2,00100001101000000000000110001100001000001000000111001011100010010010011101001100,11110111001001101001001011100011000001110000110000100110001110000001100010000110,12,2,0,12.528
2,00010000000001100001000010001000000000111000110010100101011000010001100001000000,,25,10,0,34.812
2,00010001001000111011000011010001100000110000000000010001000000100000010110001100,00100010001101110001101011001111000001110000000011000010001010010001000011000111,14,1,0,17.729
2,00101000100000000100000010001000001000010000000100001011100011111010011111001001,11110010011111101001101011101000000001000010101010000010001010000011000010100010,10,0,0,28.364
2,10010001001000010010000111010001100000011000010000110001000000100000010011110000,,14,2,0,37.33
2,00000000101000000110000010001000001000011100000100001011100011110010011110001100,11100011101111001001001010100011001001001000101011000011001010100001100000000010,11,1,0,20.572
2,00110001101000000100000000000000001000011000000100001001100001000010011110001001,11100010011100001001001001101010000001000000100100000000010010110001000011000110,15,0,0,5.513
2,00100001101000000100000010001100000000010100000100001011100001000010000111001101,,13,0,0,44.5
2,00110001001000000100000110001100001000011100000100001011000011011010011111001101,11110011011101101001011011000011000001001000100001010010101110110101000011000100,7,1,0,1.146
2,00101001101000000100000010001100001000001100000010000001100010011010011001001100,10010011101111101001000001100011000000101000100010000010001111100001000010100100,12,0,0,1.596
2,10110011111000001001000101010001100000011000010000100001000000100000010110000100,11110011011001001001011010100010000001100000100001000110000111101001100110000110,11,0,0,2.309
2,00010001101001100100000110001000001000011100000100001001100010111000110111001111,01110011111011100111011011100011001001000000100001000110001010011101000000010110,10,5,0,6.106
2,10010011111001011011000110010001000000011000010000110001000001000000000110000000,,12,1,0,25.522
2,00110001101000000100000010000100001000010000000110001011100011011000010111001101,01110011011101100001001011101001000001110000000011001010000110000001100111000110,9,0,0,0.08
2,00111001000000000000000000000100001000011100000110001010100000010010000010001100,,17,0,0,22.249
2,10110001011000000111000111010001100000111000010000010001000000100000000110001000,10110001011000000111000011010001100000111100110000110001000010101000100110001100,11,0,0,17.55
2,00100000101000000100000010001100001000011100000110000011100011000010011111001101,,9,0,0,28.531
2,00111001101000000100000010001100001000000100000000000010100010010010001110001101,11111001101000000101010010001100001000100100100010000010100010011010001110001101,13,0,0,3.719
2,00100000001000000000000000001100001000011100000100001011100011111010011111001101,11110010011111111001001011101011000001001000100001010000001111100000100010000000,9,0,0,1.816
2,00001001101000000100000010001100001000011000000100001011100001011000000011001101,,12,0,0,24.101
2,10011011000001011001000111010001100001101000011010100001000000110000000110000000,,12,3,0,28.108
2,00110001101000000100000010000100001000001000000110001011100011011011011111001101,,7,1,0,25.972
2,00101001001000000100000000001000001000001000000100001011000011110010011111000101,01111001111111001001001011000010000001000100100000000000011010000001000111100100,12,0,0,20.996
2,00110001001000000100000010001000000001101000000100011011100110011010101011011001,,13,5,0,19.989
2,00110000000000001111000011010001100000011110000000010001000000100000000010000000,,19,2,0,37.156
2,10011001111010000011000011000001100000101000000000010001001100000011100110000000,,17,6,0,29.52
2,10110010110001011111000001000001101100111000110000000001000000100000010110000100,,11,3,0,23.968
2,00011001101000000100000010001100001000011100000110000000100011010000011110001101,11100011011101000001000010100011000001100000110011010010001110000101000101101110,10,0,0,2.667
2,11000000000000010000000100011000110000110000000000010000000000000000000001100000,,28,5,0,41.304
2,00100010100011000010001100100001000000001100010001110000000001000110000000011000,,23,8,0,26.324
2,00100011111000001001000111010001100000011000010000010001000000100000010110000000,11110001001101000001001011101010000001110000100011000111001011000001100000000110,13,0,0,0.08
2,00110001101000000100000010000000001000011100000100001011100011000010011110001100,,11,0,0,37.48
2,00000001101000000100000010000100001000011100000110000011100011010010011111001101,,9,0,0,34.237
