"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b10010000000011100000000000011001000111100000011101000011000100001000000000110000",0,2263.8140144607287,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",20,10,0,0,1.1830248836756352,317.3220221329062,14.487422701060108,1.4282924162497026,0
1,"b01001110101000111011000000100000101111000101110100001011011100110000111001100000",1,6320.978344729751,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",4,3,0,0,0.8058893734904068,7.867802548661948,333.02503209290865,1.399064958953136,0
2,"b01000000001010000001000001000000001000000000011010000000000000110000011100000000",3,6961.637570234489,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",6,1,0,0,0.6597557160531847,234.71641331481544,195.19856226459422,1.413906335177447,0
3,"b11001100101000000000000000000001100100000011000100001000100100110000011000000000",1,4789.668740254189,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",18,1,0,0,1.4373131951382434,248.3101227692944,177.25791885879013,1.0180832465670848,1
4,"b00010011000100100100011100101100011100001111000011110000100001000111010100010101",0,3552.7641114785965,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",12,13,0,0,0.91205529429688,15.693691001790153,62.52650618915011,1.804458311854054,0
5,"b00100001100110011110011110110001001101000000100000000011010110010011011100101000",3,3493.609033611854,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",8,22,0,0,1.0029042257377847,443.51286029564216,321.15156860421536,0.05266236973765473,1
6,"b01000000001010100001000001000000001010010000000010000000000001111000011100000000",3,7362.339016013659,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",2,0,0,0,0.7292696343452355,457.0614233157547,350.1931912816257,6.042184403082888,1
7,"b10010001111001011011000111111000111000111000010000100001000001100000010110000101",2,5943.6902976233505,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",9,6,0,0,0.8523849135095506,434.8505946553353,471.647827650134,0.2720396151756489,0
8,"b00110001111000011001000110010001000000011000010000100001000000100001110010001110",2,7245.070443424568,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",13,3,0,0,0.7193356426310397,300.24631784027287,286.5523611461166,5.378296315132139,1
9,"b10001100000000011111000000110101001011000110000100001001101010110100110001000010",1,4603.905022053528,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",13,7,0,0,1.1137455761127186,433.6849977427481,54.39485000316105,5.293289326122528,1
10,"b00000110001100001001101100010000001011100000111100000110000011111000000100110011",1,3704.9568508213843,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,3,0,0,1.0649411849552002,336.84299194115346,130.7500779725155,5.469145733991031,1
11,"b10000010000000010101011110001000000000000010100100010110000000010000000111110100",1,1173.0182353701657,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",22,9,0,0,0.8888089947114814,453.4619127232537,310.32517672217,5.574145057266396,2
12,"b11000111011011001100000000010000001010100001110000110100000000010000000100001111",1,1663.4057393339335,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",18,9,0,0,1.1672184950069913,289.746887784001,389.45048876343185,4.298348480086289,2
13,"b01000100100000110111000000100000100011000110010101001000101100010000110001000000",1,7024.157123732448,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",12,1,0,0,0.6695170437915376,130.07545738488653,273.149829054043,4.239107080099441,2
14,"b00010000000100001000000101000000000011101000001000100010010100010001001010000100",3,4629.10695174945,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",15,15,0,0,1.320274620418074,303.98830492207264,118.52692792488463,1.5188891064383845,2
15,"b00110001101000000100000000001100001000011100000100001011000001011110010101001001",2,8929.04483809422,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",11,1,0,0,0.7253957685816653,264.96387482755506,214.23702967394547,4.875742547555408,2
16,"b00000000000010000000000000000001000000001111111011001010110000000010000000000001",3,4638.6972164468225,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",14,12,1,0,0.7338303269988099,32.27903459937915,452.41364644988766,4.521723704877546,2
17,"b00110001101000000110000000001100001000011100000110011111000011110110011111001001",2,5706.019907523936,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",7,4,0,0,1.0092546127212019,455.35467356699536,479.419760987208,3.2018572654497435,3
18,"b10110011001000011001000110010001100000111000010000100001000000100000010100111000",2,8184.999139288355,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",11,1,0,0,1.022128878809383,241.33080050543492,366.3316963698827,5.772150983095191,4
19,"b11001110100000011111000000100000101110000111010000001000101000110000000001100000",1,9249.408761348728,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,0,0,0,0.7771038476710348,456.75895413545766,431.4228416288591,1.714449159224822,3
20,"b00000111000000011111000000110000101111000111010100001000111000110000111001100000",1,7359.6216841407495,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",7,2,0,0,0.9059880177728127,297.46285972531814,6.724126155409456,5.896463166818739,4
21,"b11000000000110000010011001000000001110000000011000000000000000000111010000100000",3,1738.2329921786054,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",13,12,0,0,0.893616106803977,413.6733170450395,80.90760022872223,3.6493628423431224,2
22,"b00010001001000000100000010001000000000011000000110001011100010001000010101000101",2,6725.295383583483,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",15,0,0,0,0.8384791129157222,125.96444896720017,339.38795240854955,5.417042807654105,5
23,"b00100000101000000110000010010000001000011000000100000000100011011010011111001100",2,8262.11731196526,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",14,2,0,0,1.1748833073006273,305.4404250457013,194.94299895939312,4.933462091114523,6
24,"b01111100001001100000000100001100010001110000011110100100110000000111000010100110",0,1930.1594633357115,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",16,14,0,0,0.7983735693941988,30.309974910991496,69.63415268965983,4.96735450928089,0
25,"b01001010001000111011000001100000101001000101010100001000111000000000110001000010",1,7767.044647090635,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",12,2,0,0,0.7776508460857643,63.10122354037671,203.92928396082868,2.29259093745077,5
26,"b00000010001101000010011000000000010000101010101000100000100111000111110100010001",0,4652.248418608444,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",7,1,0,0,1.0889808461010888,240.7036641168387,491.01936102120874,1.3701375912387497,0
27,"b00110000000000000110011110110001101111000100010000000000011010011111111100111000",3,4018.6135875333866,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",9,23,0,0,0.9294376257202953,362.1436977443265,427.9594702905211,6.302228250674913,2
28,"b11001110101000011110000000000000101110000111010100001000111100110000111001100000",1,9873.941732559459,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",4,0,0,0,0.9216386784778936,241.14990547911762,441.2965772960154,5.559567927567006,6
29,"b00000000000000000100000100000000011111000000000110000100111011110000001110000000",3,2570.6251056673786,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",11,12,1,0,0.7641444157132455,423.52572080152794,163.7629119606372,2.47152195631614,2
30,"b00000110010100001100011000010000100011100001110100000100000010111100010101110011",1,8975.909469651377,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",6,0,0,0,0.861235358142294,232.77871328678128,23.95586728382812,2.362211255410282,7
31,"b10001000101011000011100100000000000101100100000010000010001001000010000001001000",0,7877.728957341532,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",11,0,0,0,1.0757851002927121,277.19219690562164,18.846722278653335,3.079819539619192,1
32,"b11000110101000011101000000100000001110000000010100001000110110100000111001000000",1,6897.630244382302,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,1,0,0,1.1364403882157081,390.0940955827766,5.053364496368028,5.682987720469852,8
33,"b11001100110100010001000010000000000000000010100110011101110011000000000000011000",3,3727.284202077466,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",14,19,0,0,1.0617406012049173,381.48539203805734,326.02038566839434,4.533480866601785,2
34,"b01100000110001111000010001001011101111110001111110000111111000000000110011100010",3,1648.5751296633416,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",8,27,0,0,1.160485254364412,380.7609749440839,41.36137150081512,0.6456234323277517,2
35,"b01011100000000010001000100001100000110011001000111010000110001001111000010100100",3,4339.9853047401975,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",11,20,0,0,1.0304072391991685,164.18039723495696,346.1774855447774,4.378753502884516,2
36,"b01000000000000000001000001000000001000000000010010000000000001001000011100000000",3,7978.254264390489,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",8,0,0,0,0.6504052935057428,68.45354057793479,275.4661758941354,3.9503709000479073,2
37,"b11000000101011100011100100001100111100100000111110000010111011000110110011000000",0,5913.057146901233,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",6,9,0,0,0.9271521587396292,479.5192740006523,483.2498277706439,2.6028073745167504,2
38,"b11111000111001000011000100000011000101110001111000100100110000000000000010110000",0,3544.775602435203,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",17,14,0,0,1.023715848240335,252.10962018909268,444.6398073565223,1.2376106873531325,3
39,"b00000000001010100000000000000000001010010000000010000000000001101000011100000000",3,6977.040832805702,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",6,0,1,0,0.6931580892492596,63.06822887629862,249.52915247735788,3.320551524033757,3
40,"b00100001001000000111111000001001001100000001000000000110011100010000000000011100",3,3283.163807054204,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",11,15,0,0,0.8591843987495555,172.89593807805784,321.42125172017955,0.13444784910241625,4
41,"b11010000001010000010010011011100100000000001000000000100001001001000000010011000",3,3347.8249319070737,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",13,15,0,0,1.4777254213359268,200.28240561745383,123.07176836649577,6.042511594593579,4
42,"b00110010010001000010000111011001100001110000010000110000000001100000010110011000",2,8431.696055669037,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",13,3,0,0,0.8300355710168613,469.51964356863454,381.15312005723774,2.2063823284010056,7
43,"b00110000001000000010000010001100001000011000000010011111100011010000010110001101",2,5668.885489212556,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",13,3,0,0,0.9541953074397288,375.90607616569423,456.4696410963218,3.4886987918054753,8
