node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00110001101000000100000010001100001000011100000010001010100001011010011101001101,,8,0,0,2.632
2,00111000101000000100000010001000001000011100000000001011100011011010011101001101,11010011011101100011001011101011001000000000100001000010000010000001100011100100,8,0,0,1.29
2,00110011000001011011000111010001100000111000010000010001000000100000010110001100,00110011001101100001001011100011000001100010100001000010000010010011000011000100,9,0,0,1.216
2,00111001101000000100000010001000001000010100000100001011100010010010001111001101,11110111011000001011101011100001000001000000101001000010011010000001000011101110,9,0,0,2.584
2,00010001101000000100000010001000001000011100000110001011100011010000011111011101,01110001101000001101000010001000001000011100001110001011100011011000001111011101,7,0,0,0.737
2,00110011110001000111000111010001100000111000010000110001000000100000010000010100,11110011001010001001001011101011000001000000100001100010001110001010000010100000,9,0,0,1.691
2,00111001001000000100000000001100000000011100000110001011100011011110010110011101,,7,1,0,2.571
2,00110001101000000100000000001100001000011110000110001111100011111010000111001101,00110011101001001101000000001100001000111111000110001111101011111000000111001101,6,2,0,1.792
2,00100001101000000100000000001000001000011100000110001011100011011010011111001101,00100001101000100101000100001001001000011100000110001111100011010010001011001101,7,0,0,2.067
2,00011001101000001100000010001100001000010100000110001011100010011000001111000101,00011001101000001111001011001101001000110110000111001011100010011000001111000101,8,0,0,1.369
2,00000001101000000100000010001100001000011100000110001111100011110010011111001101,11100001011111101001101101100011000001100000100001000010001111100001000010000110,6,1,0,2.013
2,00110000100000000100000010001000000000011100000110001011100011111010011101001101,,8,0,0,2.583
2,00110001101000000000000010001000000000011100000110001011100011111000011111000101,,8,0,0,2.912
2,00110001101000000100000010000100001000010100000110001111100011111000011110001101,,7,1,0,3.028
2,00110001101000000100000010000100001000011100100100001011100001011010011111001101,,7,1,0,2.72
2,00111001001000000100000010001100001000011100000010000011000011111010001011001001,00111001001100000101000010000100001000011100000010010011001011011000001011001101,9,0,0,1.913
2,00011001100000000100000010000000000000011100000110001011000011111010011111001100,,9,0,0,2.677
2,00100001101000000100000010001100001000011100000110100010000011111010011111001101,11110011011111100001100010001011000101100000100001000010011111010000000010000010,7,1,0,1.868
2,10010011010011011011000111010001100000101000010000110001000000100000010110011110,,7,2,0,2.781
2,00110001101000000100000010000100001000011100000110001011100011111110011011100101,10111001011111111001011011100010000001000000100001000100000110000101100111000110,6,2,0,2.194
2,00100001101000000100000000001100001000011100000110001011110010011010011111001100,00101001111100000101010000001100001000011100000110011011110010011010001111001100,8,1,0,1.477
2,00110001001000000000000010001100001000010100000110001011100011010010011111001101,10110011111011011011100111010001111000111000010000110001000010000000000010001100,8,0,0,2.353
2,00110001101000000100000010001100001000011100000110001011100001111000011110001001,,7,0,0,3.008
2,10110011111001011011000111010001100000011000000000110001000000100000010110000100,10110011111111011011000111010001101000111000000000110001000010100000100110100100,7,0,0,2.308
2,00010001101000000100000010001100001000001100000110001010100011011010011011001101,10111011011101101001001010101011000001100000100010000010001110010110000001001110,8,0,0,2.614
2,00110001001000000100100010001100001000011100000010001011100011111110011111001101,11110011011110111001001011100010000000100100100001100010001110001000000001100110,5,2,0,2.259
2,00100001101000000100000010001100001000011100000100001011100001010010011111001100,11110011001100100001001011100011000001000000100011000100001110100001000010000110,9,0,0,1.831
2,00101001101110000100000010000100000000010100000110001001100011111010011111001101,11110011011101101001001010100001100001000000000011000010000111101001100010100110,7,2,0,1.531
2,00011001101000000100000000001100001000011110000100001001100011111010011111001000,00111011101000010111000000001111001000011110000100001001100011111010001111001000,8,1,0,2.311
2,00101000101000000100000010001100001000011100000100001011100001011110011111001101,,7,1,0,2.662
2,00110001101000000100000010001100001000001110000100001011100011110000011111001101,01100011001010000001110001000000000101100010000111000111010010001111101011101111,7,1,0,2.379
2,00111001000000000100000010001100001000011110000100001011000011111010011111111000,00111001001000000101010010001100001000011111100000001011000011111010001111111010,7,2,0,1.738
2,00110001100000000100000000001000001000011000000110001011100011011010011111001001,11110010011101101101011011100010000001100000100011000000001010110001100011000111,9,0,0,1.891
2,00111001101000000100000010001100001000011100000010001001100011010010011111001101,11111011011111001001001001100011000000100000100001000011000111000101100011101110,6,0,0,1.414
2,00111000101000000100100000001100001000011010000110001011100011111010010111001100,01110011001101001001001011100010100001100000100001100010001110001001000010100000,7,2,0,1.627
2,00110001101000000100000010001100001000011100000100001011100010011010010101001100,01010111001001101001011010100010000001000000100001001010001110000011100011000110,9,0,0,1.458
2,00110001101000000100000010001100001000010100000110001010100011011010001011001101,,8,0,0,2.538
2,00010001001000000000000000001100001000011100000110000011100001111010001111011101,00100010001001000001110010000010100110000110000011000110000010010111101011100111,9,0,0,2.486
2,00110001101000000100000010001100001000011100000010001011100011110010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,5,0,1,1.954
2,00010001101000000100000010001100001000011100000010001011100001011010011111001100,,8,0,0,2.61
3,00000000001000000001000001000000001000010000000000000000000001101000011100000000,00000010001000000001000001000000001000010001000000000000000010101101101100000000,8,0,0,1.199
3,00000000000010000001000001000000001110010000010010011000000000111000011000000000,,6,3,0,2.613
3,00000000000010100001100000000000001010010000010000000000000001110000001100000000,,7,1,0,2.334
3,00000000100000000110000000000000001000001001010000001010000010000100000000010000,,8,1,0,2.655
3,01001000000010000001000001000000001010000000010010000000000000101000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,1.78
3,00001000000010100001000100000000000010010000010010000000001001011000011100000000,,5,2,0,2.449
3,01001000001110000001000001000000001110010000010000000000000000111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,3,2,1,1.985
3,00000000001000100001000000000000001000010000010010000000000001111000011100000000,01000000001010010001000010000011000100000100110000010000000010000101100000000111,5,0,0,1.62
3,01000000001010010000000000000000001010010000010000000100000001011000001100000000,,7,2,0,2.738
3,00000000011000011010000000000001000000011001000000000011000000000101100000010010,,6,3,0,2.455
3,00000000111000010100000000000000000000001001010000000110000010001100000000010000,00000100101000010101000110001010000100000000100000010000000010000101000000000011,7,2,0,1.3
3,01000000001000000001000011000000001000010000010010001101000001111000010100000000,01000000011000000011000011000000001000110000000011001101000011111010000100000000,5,4,0,1.84
3,00000000001000000000000000010001001000001000010000000010000010000101010000010010,00000100001000010001000111000011000100000100100001000000010110000000000000000001,7,1,0,2.931
3,00000000000110000001000001000000000000000000000010000000000001111000011100000000,,8,1,0,2.888
3,01000000000000100001000000000000000010010000010000000000000001111000011100000000,,6,0,0,2.684
3,01000000000000000001000011000000001000010000010000000000000001111000010000000000,00000000101000000001100111000010010100000101100000000000000010000011100001000000,8,1,0,2.283
3,01001000001100100001000111000000001010010000000010000000000000110000000100000000,00000100101000110001000011100011010100000000000000000010000010100011000000000011,6,3,0,1.976
3,00000000000000011010000000100001001000001000010000000000000000000101010000000010,,8,1,0,2.316
