node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00110001101000000100000010001100001000011100000010001010100001011010011101001101,,8,0,0,28.416
2,00111000101000000100000010001000001000011100000000001011100011011010011101001101,11011011111101101101001011110011000000100000100011010010001010010001000011100010,8,0,0,12.306
2,00110011000001011011000111010001100000111000010000010001000000100000010110001100,,9,0,0,31.422
2,00111001101000000100000010001000001000010100000100001011100010010010001111001101,,9,0,0,30.728
2,00010001101000000100000010001000001000011100000110001011100011010000011111011101,11110111011101000001000001101011000001100000100001000010001111001001001001100110,7,0,0,0.007
2,00110011110001000111000111010001100000111000010000110001000000100000010000010100,11110011001111001011101011100011100001100100100001100010001110001001000010100000,9,0,0,7.526
2,00111001001000000100000000001100000000011100000110001011100011011110010110011101,,7,1,0,28.876
2,00110001101000000100000000001100001000011110000110001111100011111010000111001101,,6,2,0,21.722
2,00100001101000000100000000001000001000011100000110001011100011011010011111001101,11110010011101101001001111100011001001100110100011000000001010000001000010000111,7,0,0,24.138
2,00011001101000001100000010001100001000010100000110001011100010011000001111000101,00011001101000001111001011001101001000110110000111001011100010011000001111000101,8,0,0,0.955
2,00000001101000000100000010001100001000011100000110001111100011110010011111001101,11100001011111101001101101100011000001100000100001000010001111100001000010000110,6,1,0,0.006
2,00110000100000000100000010001000000000011100000110001011100011111010011101001101,,8,0,0,32.425
2,00110001101000000000000010001000000000011100000110001011100011111000011111000101,11110001011111110001011011100001100001100000000001000010001010000010100011000111,8,0,0,4.411
2,00110001101000000100000010000100001000010100000110001111100011111000011110001101,11100011011111100001001110100001100001100100101001000011000111001001000011100110,7,1,0,9.103
2,00110001101000000100000010000100001000011100100100001011100001011010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,1,1,7.639
2,00111001001000000100000010001100001000011100000010000011000011111010001011001001,,9,0,0,18.151
2,00011001100000000100000010000000000000011100000110001011000011111010011111001100,11110010001011101001001011000011000100100000000001000010000010010000000001100111,9,0,0,0.008
2,00100001101000000100000010001100001000011100000110100010000011111010011111001101,11111011011111101001110010100011100001100000100101010010101111000001000010000110,7,1,0,8.655
2,10010011010011011011000111010001100000101000010000110001000000100000010110011110,,7,2,0,26.598
2,00110001101000000100000010000100001000011100000110001011100011111110011011100101,,6,2,0,23.002
2,00100001101000000100000000001100001000011100000110001011110010011010011111001100,11110011001101101001001011100010000001100000100001000000001010000001000110000111,8,1,0,0.007
2,00110001001000000000000010001100001000010100000110001011100011010010011111001101,10110011111011011011100111010001111000111000010000110001000010000000000010001100,8,0,0,1.057
2,00110001101000000100000010001100001000011100000110001011100001111000011110001001,,7,0,0,25.604
2,10110011111001011011000111010001100000011000000000110001000000100000010110000100,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,0,1,2.706
2,00010001101000000100000010001100001000001100000110001010100011011010011011001101,10111011011111101001011010101011000011110000100100000010001110000001000001000110,8,0,0,3.339
2,00110001001000000100100010001100001000011100000010001011100011111110011111001101,01110011011111111001111011100011000000100100101001100010001110000101000011000111,5,2,0,14.639
2,00100001101000000100000010001100001000011100000100001011100001010010011111001100,11110111001101101001001011100111000001000000100011000010001110001101100010000110,9,0,0,15.692
2,00101001101110000100000010000100000000010100000110001001100011111010011111001101,11110011011011101001001000100001000101110000000001000010001110100000100010100110,7,2,0,0.007
2,00011001101000000100000000001100001000011110000100001001100011111010011111001000,11110010001111101001001101110011110001100000000011000000001110100001000011100110,8,1,0,11.113
2,00101000101000000100000010001100001000011100000100001011100001011110011111001101,,7,1,0,32.48
2,00110001101000000100000010001100001000001110000100001011100011110000011111001101,11110011011111000001001001101011100001010100100000000110001111000101000011010110,7,1,0,11.838
2,00111001000000000100000010001100001000011110000100001011000011111010011111111000,,7,2,0,31.931
2,00110001100000000100000000001000001000011000000110001011100011011010011111001001,11110010011101101101011011100010000001100000100011000000001010110001100011000111,9,0,0,0.914
2,00111001101000000100000010001100001000011100000010001001100011010010011111001101,11111011011101001001001001000011000000110000100101000011001110000010100011100110,6,0,0,0.009
2,00111000101000000100100000001100001000011010000110001011100011111010010111001100,01110011001101001001001011100010100001100000100001100010001110001001000010100000,7,2,0,0.005
2,00110001101000000100000010001100001000011100000100001011100010011010010101001100,01010011001101101101001011101011000001000000100001000100001111000011000111000110,9,0,0,2.471
2,00110001101000000100000010001100001000010100000110001010100011011010001011001101,,8,0,0,24.98
2,00010001001000000000000000001100001000011100000110000011100001111010001111011101,,9,0,0,35.202
2,00110001101000000100000010001100001000011100000010001011100011110010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,5,0,1,0.004
2,00010001101000000100000010001100001000011100000010001011100001011010011111001100,,8,0,0,28.994
3,00000000001000000001000001000000001000010000000000000000000001101000011100000000,00010000001001000101010010001010000100101000000000000000000010000101100000000011,8,0,0,2.08
