node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00110001101000000100000010001100001000011100000010001010100001011010011101001101,,8,0,0,112.994
2,00111000101000000100000010001000001000011100000000001011100011011010011101001101,11010011011101111001001011100011001000000100100001000000001010001011000001100010,8,0,0,0.029
2,00110011000001011011000111010001100000111000010000010001000000100000010110001100,,9,0,0,115.855
2,00111001101000000100000010001000001000010100000100001011100010010010001111001101,,9,0,0,115.117
2,00010001101000000100000010001000001000011100000110001011100011010000011111011101,11110111011111010011001011100011000001100000100001000010000110000001001001100110,7,0,0,0.027
2,00110011110001000111000111010001100000111000010000110001000000100000010000010100,11110011001111001011101011100011100001100100100001100010001110001001000010100000,9,0,0,92.923
2,00111001001000000100000000001100000000011100000110001011100011011110010110011101,,7,1,0,113.868
2,00110001101000000100000000001100001000011110000110001111100011111010000111001101,,6,2,0,107.306
2,00100001101000000100000000001000001000011100000110001011100011011010011111001101,11110011001101101001001011100010000001100000100001000000001010000001000110000111,7,0,0,10.019
2,00011001101000001100000010001100001000010100000110001011100010011000001111000101,00011001101000001111001011001101001000110110000111001011100010011000001111000101,8,0,0,87.635
2,00000001101000000100000010001100001000011100000110001111100011110010011111001101,10110111011111001011001111101011000001100000100011001010001110101001000000000110,6,1,0,0.032
2,00110000100000000100000010001000000000011100000110001011100011111010011101001101,,8,0,0,120.406
2,00110001101000000000000010001000000000011100000110001011100011111000011111000101,11110001011111110001011011100001100001100000000001000010001010000010100011000111,8,0,0,92.122
2,00110001101000000100000010000100001000010100000110001111100011111000011110001101,11100011011111100001000110100001000001100000100001000010001111100111000011100110,7,1,0,0.033
2,00110001101000000100000010000100001000011100100100001011100001011010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,1,1,94.239
2,00111001001000000100000010001100001000011100000010000011000011111010001011001001,,9,0,0,105.463
2,00011001100000000100000010000000000000011100000110001011000011111010011111001100,,9,0,0,117.901
2,00100001101000000100000010001100001000011100000110100010000011111010011111001101,11111011011111101001110010100011100001100000100101010010101111000001000010000110,7,1,0,93.013
2,10010011010011011011000111010001100000101000010000110001000000100000010110011110,,7,2,0,1075.13
2,00110001101000000100000010000100001000011100000110001011100011111110011011100101,10111001011111111001011011100010000001000000100001000100000110000101100111000110,6,2,0,0.051
2,00100001101000000100000000001100001000011100000110001011110010011010011111001100,11110011001101101001001011100010000001100000100001000000001010000001000110000111,8,1,0,0.054
2,00110001001000000000000010001100001000010100000110001011100011010010011111001101,10110011111011011011100111010001111000111000010000110001000010000000000010001100,8,0,0,85.843
2,00110001101000000100000010001100001000011100000110001011100001111000011110001001,,7,0,0,216.902
2,10110011111001011011000111010001100000011000000000110001000000100000010110000100,11110111011101100001001010100110000001100000100011000010001110010001000010000110,7,0,0,0.027
2,00010001101000000100000010001100001000001100000110001010100011011010011011001101,10111011011011111001001010100011000001100100100000000010001111000011000001000010,8,0,0,0.031
2,00110001001000000100100010001100001000011100000010001011100011111110011111001101,11110001011101011001001010100010000000100000110001100010000110000001000011000100,5,2,0,0.042
2,00100001101000000100000010001100001000011100000100001011100001010010011111001100,11110111001101101001001011100111000001000000100011000010001110001101100010000110,9,0,0,108.714
2,00101001101110000100000010000100000000010100000110001001100011111010011111001101,11110010011010101101001000100001000001110000000001000010000111110001000010100110,7,2,0,0.028
2,00011001101000000100000000001100001000011110000100001001100011111010011111001000,11110010001111101001001101110011110001100000000011000000001110100001000011100110,8,1,0,1090.794
2,00101000101000000100000010001100001000011100000100001011100001011110011111001101,11110011011101111001001011100011000000000100000000000010001110110011000010100010,7,1,0,0.188
2,00110001101000000100000010001100001000001110000100001011100011110000011111001101,11010011111111100011001011100011100001000000100001000010001110000011100010000110,7,1,0,0.05
2,00111001000000000100000010001100001000011110000100001011000011111010011111111000,,7,2,0,115.651
2,00110001100000000100000000001000001000011000000110001011100011011010011111001001,11110010011100101101001011101010000001100000100001001000001011000001000111000111,9,0,0,0.066
2,00111001101000000100000010001100001000011100000010001001100011010010011111001101,11111011011111101001001001101011000000100000100101000011000110000011000011100110,6,0,0,0.058
2,00111000101000000100100000001100001000011010000110001011100011111010010111001100,01110011001111001001001011100010100001100001000001100000001110100101000011110010,7,2,0,0.023
2,00110001101000000100000010001100001000011100000100001011100010011010010101001100,01010111001001101101011011100010000001010000100001000110001110000111000011000110,9,0,0,0.052
2,00110001101000000100000010001100001000010100000110001010100011011010001011001101,,8,0,0,110.401
2,00010001001000000000000000001100001000011100000110000011100001111010001111011101,,9,0,0,1070.385
2,00110001101000000100000010001100001000011100000010001011100011110010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,5,0,1,0.02
2,00010001101000000100000010001100001000011100000010001011100001011010011111001100,,8,0,0,1122.761
3,00000000001000000001000001000000001000010000000000000000000001101000011100000000,00010000001001000101010010001010000100101000000000000000000010000101100000000011,8,0,0,1375.538
3,00000000000010000001000001000000001110010000010010011000000000111000011000000000,00000010001101000101100011000010011100000100100000010000011010001111000000000001,6,3,0,301.988
3,00000000000010100001100000000000001010010000010000000000000001110000001100000000,,7,1,0,749.61
3,00000000100000000110000000000000001000001001010000001010000010000100000000010000,,8,1,0,1133.423
3,01001000000010000001000001000000001010000000010010000000000000101000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,0.016
3,00001000000010100001000100000000000010010000010010000000001001011000011100000000,,5,2,0,1179.711
3,01001000001110000001000001000000001110010000010000000000000000111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,3,2,1,0.021
3,00000000001000100001000000000000001000010000010010000000000001111000011100000000,10000000001000010001000010000010000100000000110010000000000011000110100000001011,5,0,0,0.031
3,01000000001010010000000000000000001010010000010000000100000001011000001100000000,,7,2,0,127.39
3,00000000011000011010000000000001000000011001000000000011000000000101100000010010,,6,3,0,238.025
3,00000000111000010100000000000000000000001001010000000110000010001100000000010000,,7,2,0,127.245
3,01000000001000000001000011000000001000010000010010001101000001111000010100000000,01000000101100000011100011000011010100001100100000000010110110000111100000000010,5,4,0,1038.853
3,00000000001000000000000000010001001000001000010000000010000010000101010000010010,00000110101100010101010011000000000100000100100000000000011010000010000000000001,7,1,0,0.196
3,00000000000110000001000001000000000000000000000010000000000001111000011100000000,,8,1,0,134.275
