Cluster ID,Binary String,ID,Match Score,Exact String,False Negatives,False Positives,Row Shifts,Column Shifts,Fit Quality,X Position,Y Position,Theta,Group Number
0,b00001011000010100000001100100101111000001111110000110011000001000100010000010010,3,2155.258114,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,9,18,0,0,0.9595505282,87.14475339,38.04821312,3.80816079,0
1,b00110001100000000100000010001100000000011100000100001001100001001110010001001101,2,5630.279946,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,13,1,0,0,0.8292943683,347.3678304,109.876667,3.590745345,0
2,b01010100001101000001000000000101010000010100001110100010111000000001100011010010,0,2070.440336,b10001000101011100011100100001100010101110100001110000010011001000010110001011000,16,10,0,0,0.9105835123,492.1590804,74.90594018,6.036858545,0
3,b01100100001001001101100001010000000100010001011000001000110010000011101000010100,3,2825.083458,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,11,18,-1,0,1.195964766,104.0787416,325.1210579,2.829026175,0
4,b00011000101000000000000010001100000000011100000100001010000010011010011111001000,2,4010.087433,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,13,0,0,0,0.8714589106,341.5768205,180.9034441,4.263278358,1
5,b10110011111001011011000111010001100000111000010000110000000000100000000010000100,2,5079.37379,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,8,0,0,0,0.7369175687,258.5738603,272.0359091,3.082840674,2
6,b01101001000100100010010100000011010100100001010001011100000001111000100100001110,3,2693.449211,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,10,20,0,0,1.089031221,487.0825592,258.737509,3.636833958,0
7,b00001000000011011100001000000110001001011111000000011010100011001001001000000000,3,3585.388899,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,10,16,-1,0,0.8077994055,448.0745934,264.7269059,1.345727392,0
8,b00110100100010000000001100000000011011010000100000101110000000000000110010000100,3,3532.898829,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,15,17,1,0,1.110921536,177.3331526,41.91796353,3.803712123,0
9,b00110011101000001001000101000001100000111000010000110001000000000000000100001000,2,4363.94617,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,15,0,0,0,0.8672714954,369.9387115,130.3819053,3.885576589,3
10,b00000000011001111100111100000000000011010000000001000010111100011100000001000010,3,1889.216747,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,11,17,1,0,0.9171981171,365.8194737,26.37644458,4.234336741,0
11,b00000000001000000000100000000000010111000001110100000100010000110000000000000000,3,3857.54042,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,14,9,-1,0,0.7420456539,489.2304481,61.59884704,3.993927434,0
12,b00100000001000000010000010000100000001101100101100010011100101111001011111000000,2,2419.689776,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,17,8,0,0,0.7997011869,101.5378219,143.1851922,0.2347522219,4
13,b01001000110000011000000000001000000000010000010000001000000011110000000010000000,3,2349.180131,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,12,8,-1,0,0.8479178068,261.0315326,56.65848121,1.203021957,0
14,b01000000001001110010000001101001001100000010111000010000100001100111100010000110,3,2061.374181,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,10,18,0,0,0.8785535882,51.57498035,435.5759618,2.844157169,0
15,b00011100101110111001000010000000001100000010110110000011010011000001000000001000,3,3628.693038,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,10,17,0,0,0.8866041537,6.420061764,110.8263813,5.806401977,0
16,b00100000001000000100000000001100011000011000001100010111100110110100010100010000,2,3548.285404,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,18,6,-1,0,0.9112213211,336.4329595,257.3655172,1.539259481,4
17,b10001000101011000010100000001000010000110100000000000010010001000000110000000000,0,4019.800371,b10001000101011100011100100001100010101110100001110000010011001000010110001011000,14,0,0,0,0.7582579849,117.715086,433.9629056,4.237880098,0
18,b11010010001000000000110000010110101101011000000001111000100000100110011001001000,3,2802.147514,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,12,21,-1,0,1.035050416,213.791992,303.9595621,4.534887559,0
19,b01000000001010100000000000000000001110010000010010000000000001111000011100000000,3,5213.178655,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,3,1,0,0,0.7329693909,477.2883983,351.5146641,2.290415034,0
20,b01001001000100100000010000000001100000100000011000101000000010010001100101101110,3,2109.961536,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,13,17,0,0,1.103352009,421.0536961,110.9063801,5.528075952,1
21,b00000000000000111000000001011000010000100000000010000100001100100000010001000000,3,2897.499227,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,14,10,1,0,0.7263520845,202.8563868,493.8017564,1.544588194,1
22,b00000010001100001100001100000000100000000011110100001000000011111000101011100010,1,2288.586298,b11001110101000111111000000100000101111000111010100001000111100110000111001100000,15,4,-1,0,0.9152615428,395.1607224,71.19405429,0.6030559077,0
23,b01011001010000011010000010000110010010010100000000011000000010010000000001010010,3,2172.764161,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,12,15,1,0,1.091795765,184.6357819,192.9265274,2.21032756,1
24,b00110001000000001000000110001000001000100100001100000011100010011110011110001100,2,4017.225136,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,14,4,0,0,0.8009298127,335.9788414,54.47961467,1.078499572,4
25,b00000000000000000000000001001000110011011100000000010000000100000001100000000000,3,2132.681992,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,17,11,0,0,0.7511774883,306.2440186,198.8222151,3.514589548,1
26,b00100001101000000100000000000000000000011000000110001010100011010010011101001100,2,3241.672293,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,14,0,0,0,0.8794065055,157.748429,117.6289599,4.76094178,5
27,b00110001001000000100000000001100001000011100000110001011100011110110011110001101,2,5857.852895,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,7,1,0,0,0.7816546162,118.5852268,98.50847969,3.76816235,6
28,b01001110100000001000000010100001101110000010000100001001110110110000110001100000,1,3992.141905,b11001110101000111111000000100000101111000111010100001000111100110000111001100000,13,4,0,0,0.991305784,264.1202871,44.69340181,0.529649947,1
29,b00000000000100000001000000000001000100000100000000001000010001010101000100000100,3,5553.030667,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,15,9,-1,0,1.237534172,47.92918923,354.2300994,2.82571653,1
30,b00110001001000000100000010001100001000001100000110001000100001011110010101111100,2,5240.445284,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,11,2,0,0,0.8375731946,303.7979654,274.6987357,0.5862016387,7
31,b00000000001000000000000000000000000100000101011000000100000000000000000000000000,3,2948.411036,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,16,4,-1,0,0.729585167,429.097762,85.35460829,1.865137442,1
32,b00000000000011001001000110000011000001000100000110001010000000100000000000000000,3,1759.725003,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,15,11,0,0,0.7218552985,399.2703277,417.3783696,0.01385796282,1
33,b00100001100010000101000000001100001000011000000111001011100011011010010110001101,2,4449.655753,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,10,3,0,0,0.8797473729,290.1475449,58.33837508,2.880380724,8
34,b01001110001000011010000000100000101111000110010100001000101100010000001001100000,1,6603.688952,b11001110101000111111000000100000101111000111010100001000111100110000111001100000,10,0,0,0,0.9948286439,427.6160873,289.4582728,0.707914655,2
35,b01101000001011100000010000000001000000111000000101111000001000100000011010111100,3,3195.902603,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,10,17,-1,0,0.9690701317,120.5672283,156.763558,1.031515101,1
36,b00111001101000000100000000001100001000011100000100001010000011000110010110001100,2,4717.335866,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,12,1,0,0,0.9999798893,380.6503589,229.3945375,2.867522876,9
37,b00100111011011010100001110110001100000101000010000100000000100100000010110000100,2,3156.056515,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,14,5,-1,0,1.036827889,483.1060333,493.4386412,4.622896944,10
38,b00010001100000000100000010001100001000011000000110000011100011001110000111001001,2,4158.395427,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,12,1,0,0,0.9719358337,291.4334681,280.7844321,1.027068733,11
39,b10101000000011100001100000011000001000100010101110001111110010011100001010010000,3,2043.065324,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,10,21,-1,0,0.8805147112,27.53392461,140.7499021,2.585432164,1
40,b00000000000000000000000000001110000000000100000110010001000000010010001100001100,2,945.7165492,b10111011111001011111000111010001100000111000010000110001000000110000010110011100,24,2,-1,0,0.90858355,451.510616,319.0630738,0.2366433876,12
41,b01000001000000000100110001100000000011000001100100000000110101000000010000001000,3,3639.427344,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,14,13,0,0,1.089944568,145.1758882,191.8772165,5.016782769,1
42,b00001000000010100001010000000000110011001001100000000100000010011010001001000011,3,4544.260375,b0100100000101010000100000100000000101001000001001000000000000111100001110000000,11,13,1,0,1.049398195,182.8758538,47.90118071,1.609047028,1
