"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00100011100110000110011111000000111100000000000000110000000001000000000000000000",0,3050.163417788436,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",21,9,-1,0,0.7997304433582749,355.84477995886976,244.704043648602,2.884324049588085,0
1,"b10000000001011000000000101001101101100110111100000100001110000000110110000000010",0,5240.662964500596,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",17,12,0,0,0.785180178079905,369.0765822112239,84.57721577235195,1.7046563514865876,0
2,"b00000000000000000000000000000001100001100111100000100011111011100111001000000000",0,3122.304552380526,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",19,8,0,-1,0.9584006025202675,456.6721525189883,108.68975545901725,3.2523094161226274,0
4,"b00100001001000000000000100000000001000000101000100011111100111111110000110000100",2,8339.569972495367,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",17,6,0,0,0.8860385729516619,276.39448340452054,117.60210981797037,1.6177800821061896,0
5,"b00110000001011001010001101111101111000110010000000000011000001001100001100000000",3,1528.220425985225,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",10,19,0,0,1.0776102437522461,206.70780559154662,416.73575483917716,0.1721170131574215,0
6,"b01100001100111011100011111100001111110000101110001000111111010011111001100100000",3,1020.5245735094992,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",7,30,0,0,0.9968424707263206,493.43986691893963,204.9804033260341,6.020720959153659,0
7,"b00011001101000000110000010001011001000110110011100011111100011111110011011001000",2,3988.2960534362155,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",9,10,0,0,1.0196904523290478,466.3094231212065,173.62992608177257,0.6238525465671749,0
8,"b00100001101100000110000010000010001100001110000010001100100111110000010101000101",2,2333.870868911822,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",15,7,0,0,1.0051518886082373,197.95972281203237,429.02842960485106,2.261812059368654,0
9,"b00000000000000000000000100000010110010001101001000100111010000001111000000010010",3,3825.5756747772225,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",12,13,1,-1,0.768199655373093,492.3613604160843,347.90843772247246,4.0074400244648185,0
10,"b11000000001100000100110011000001011000000011000000111100001001001010000010000000",3,2062.0130084734483,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",13,17,0,-1,0.9856804027755429,53.420943357168184,53.3836186673292,2.513037998043136,0
11,"b00110000101000000110000010001010001000011100000110001111100011011010011111001001",2,5507.534636845305,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",7,3,0,0,0.8567509370042555,353.6445158202649,450.48121457998775,1.6555781510410568,0
12,"b00001000001101111111000111111100110000101000000011000001000001100000000100000000",2,3236.2285215562533,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",18,9,0,0,0.9355911424433356,327.66308187156716,48.30815719176593,4.158237698165488,1
13,"b00000000001100000000010001000001111100000000110011000111111000000000100000000100",3,4173.906743041509,"b0100100000101010000100000100000000101001000001001000000000000111100001110000000",14,16,0,0,0.7587587651349941,368.8863654157784,308.32253366986816,0.5922727756150302,0
14,"b00000000010010001100001001111000110000101111000010001100000000011100000000110000",1,1516.6158471434933,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",21,9,0,0,0.9540055699492993,260.1249485292719,437.83641069148496,4.852498744004519,0
15,"b00011001100000000001000010001101001000000010000010011111100011111110001100001001",2,6417.2393857504285,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",13,6,0,0,0.8178555438030612,352.5799081490767,27.829405256346643,0.9259662745504733,1
16,"b00110000101000000111000000001000001000001000000100001011100001011100010110000001",2,6545.563240200336,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",16,3,0,0,0.9392662174068561,184.36946851808,124.82267760097531,5.856333916163706,1
17,"b00000000000000000000111100110000010011100011000111011000000010001000000000000000",1,3480.519321044295,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,6,0,0,0.7539561648474965,276.75769957693706,217.62575848351227,3.1237289891065565,0
18,"b00000000000000000000000000001110111011111111111011110001000011100000000110001101",0,1850.732424767743,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",18,16,1,0,0.9547658294849103,156.35969692878658,417.6488354169489,0.9637284254497658,0
19,"b01110001101100000111000010001100001000001100011110000011100011010010011111001100",2,4232.698847891777,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",8,6,0,0,1.1701204716878055,324.92817545325795,493.86705145120277,3.163400132187954,1
20,"b00110001101000000110000010001000001000010000000100000001100011011110001110110000",2,5039.515754263482,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",14,3,0,0,1.1575264644682284,377.077923277119,362.6563064732738,4.472876735060295,2
