node,origami_data,decoded_stream,errors_positions,success,decoding_time
1,00000010001100001100001100000000100000000011110100001000000011111000101011100010,,[],0,24.876
1,01001110100000001000000010100001101110000010000100001001110110110000110001100000,,[],0,27.249
1,01001110001000011010000000100000101111000110010100001000101100010000001001100000,,[],0,27.238
1,01001110101000011111000000100000001100000011010100001000111100010000010001100000,,[],0,28.381
1,00001110000000001111000010100001100111000001000100001000111100010000110001100000,,[],0,28.937
1,11001110101000000010000000100000100010000111010100001000111000110000111100000000,,[],0,31.034
1,00000111000000000101001101000000111111000010000100101100111000010000110011000000,,[],0,19.883
1,01100001000110000100001100011000111011100001110000111100000001011100010001100010,,[],0,21.053
1,01000110101000010010000000100000001110000111010100000000110100110000111000100000,,[],0,12.707
1,00000110001100001000011100010001101011100010110100000100000011111000010001110011,,[],0,16.192
1,11000110101000011111000000100000001111000111010100001000101100110000101001000000,01011000111111100111000100000000111101010010101110110110010111010011000000001001,[],0,4.461
1,01000110101000011111000000000000100111000110100000001000111100110000110001000000,01011100111111110001010100000000111011000000010110111100010011000011001010001000,[],0,27.094
1,01001010101000111010000000100000001111000011010100001000111100100000110001000000,,[],0,20.969
1,00000110001100001100011100010000101011100001110100000100000010111000110101010010,01010100101011101011000100010000011101000010101110011111010111000111100000011001,[],0,2.116
1,10000010001100001100011100110001111111100011100001011000000011110000000011000100,,[],0,23.955
1,11000010100000111110000000100000100110000111010000001000111100110000101001100000,,[],0,26.628
1,00010000000000001000010000111011100000111000100110000000110111001111010101100010,,[],0,22.42
1,00000110001100001100111100000000100011100001110100000100000011111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,[],1,14.501
1,00001000101000111011000000100000101101000001010100001000011000110000110000100000,01000100101101110001010110000001101111000010101000011000010011000111000000010010,[],0,0.034
1,01001010001000111111000000100000101011000111000100001000111100010000010001100000,,[],0,25.021
1,00010000100010000000010000100000000001000000110101000000011100100001011000000100,,[],0,38.257
1,01001010100000101110100000100000101111000101000000001000111100110000010001100000,,[],0,25.96
1,11001100100000011101000000100000101111000111010000001000011000010000110101000000,,[],0,28.412
1,00000100001100011100111000010000101011100001000000000100000011011000100101110010,,[],0,19.342
1,00001000001000110110000000100000111111000101010000001000101000111000001001100000,,[],0,30.77
1,00100100100000000101000101111001100001000011000110111000000000110000000001110000,,[],0,29.493
1,00100010000010001100001110010000101001100001111110111100011001111000010000010110,,[],0,18.221
1,10001010001000001000100001100000001100000011010000001000110000000000000001100000,,[],0,1000.269
1,01001110001000100111000000100000101010000011010000001000101100100000010001110000,01011100101110011101000100000000010111000000111100110100010011000011000100111000,[],0,17.679
1,01100111000000001100000000110000111111000011011100001000111110110000010001100000,00011001001011000001011000111100110111100011111101000000111010000011100110011101,[],0,7.55
1,01001110101000001101000000100000100111000110010100001001111010100000110011000000,,[],0,28.45
1,00000110001100001100111000010000101011100011110100000100000000111100010100110010,01011100111111110001000100000000111101000010101110111100010011000011000000011001,[],1,662.233
1,00000110000100001100110100010000101011100011110000000100000011110100010101100010,,[],0,20.028
1,10000000001100001000011000110000110110000011100000001000000011110000000010000000,,[],0,25.621
1,00000110011100001100011100010000101011000001110100000100000010111100000100110010,01011100111111110001000100000000111101000010101110111100010011000011000000011001,[],1,9.185
1,10000110100000001000011101110000100001000011000111100110001000001000000001100000,,[],0,31.907
1,11000110001000011110000001110001111110000111111100010001110011110011101011000000,,[],0,14.484
1,01001100001000000010000000100000100111000111010100001000001100110000111001100000,,[],0,25.749
1,00000110101100001100010100000001101011100011110100001100000011111100010000110010,,[],0,23.985
1,00011000001001000000000010000000111001000011110100001100010011000000000000011000,00000110001100000011001100010000111101001011101101000010000011010010000001100100,[],0,0.982
1,01000110001000011010000001100000101110000111010100001000111100110000111001100000,,[],0,17.724
1,01000000000011011001000011000000001110000011001110011000011010000001100000010000,,[],0,32.961
1,00000100101000001100111000010000001000100010110100000100000010111100010101010011,,[],0,26.914
1,01000111000000001111001010100001110110000010010100000000110000100001110001000010,,[],0,465.723
1,01001110001000011010000000100000100111000101010000001000101100110000101001100000,,[],0,27.725
1,00100000000100011101000000101110000111000001111100001000111000110011110001000010,,[],0,24.249
1,11001110001000001010000000100000100110000101010000001000101100110000101001100000,,[],0,37.113
1,00000000000110000000011000000000011000000011100000000100000000010000000000001000,,[],0,39.648
1,01001110101000011111000000100000101001000111010100001000110000100000110001000000,,[],0,27.579
1,00000010011100001100011100010000001001100011100100000100000000111100010101110010,01011100101011110101010100000001111001000010100110011100010011001011001000001001,[],0,1.406
1,01001100101000111011000000000000001001000101000100001000011100110000010001100000,01001101111101110001010000000001100100000010001010111000011010001011001001011000,[],0,0.042
1,01000110101000011110000000100000101110000011010100001000110100110000010100000000,,[],0,23.58
1,01001110100000001111000000100000101101000011010100011000111100100000011001100000,,[],0,20.909
1,01000110101000111111000000100001101111000111010100000000111100110000110001100000,,[],0,20.799
1,11001110101000111111000000100000001110000111010000001000111100110000100001100000,,[],0,23.378
1,00010000100010001110000000110000001000100100100010000000011100100010010001001000,,[],0,25.354
1,01000110101000111110000000100000101101000111010100001000111100110000110101100000,,[],0,22.538
1,01001110101000000001000000100000101110000011010100001000111100010000011000100000,,[],0,26.076
1,01000111000000001101001011100001111110000010010100001000011110100000110011100000,,[],0,17.418
1,00000100011100000100111100010000100011100001100100000100000011111000010101100010,,[],0,30.725
1,01001111100000001101000011100001110111000110000100111000011000101001100011000000,,[],0,23.309
1,00000110001100001100011100000000100010100011110000000100000011011000010101110010,,[],0,23.1
1,01000011011110000100001100011000010101110001110100000100000001011000010000010011,00000100111101100011100110000001011101000001011111001100011011100101000101001101,[],0,0.932
1,00000111000000011111000001010000011110000011000100001000111000010000110000100011,,[],0,31.428
1,01001100001000111010000000101100101110000111111100001001110000100010100001000000,,[],0,27.825
1,01000010011011111000000011000000001111000011011100000001110000000001101000100000,,[],0,34.498
1,01000110101000011011000001000000101100000111010000001011000000110001101001000000,,[],0,26.817
1,01001100001100011111000000111100101110000011110100001000010010110001110011000000,,[],0,15.783
1,11001110101000111111000000100000101111000111010100001000101100110000000001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,[],1,0.785
1,00000010000000000000000000011100100000000011110100100000000001100100000001000100,,[],0,40.627
1,00000110001100001100011100010000101011100011100000000100000011110000010101110010,01011100111111110001000100000000111101000010101110111100010011000011000000011001,[],1,16.732
1,01000010101000011110000000100001101101000101000100001000101100110000110101100000,,[],0,30.363
1,00000000000111000000101100010010001001110010001100000000000000000000000000000001,,[],0,45.831
1,10000100001100001100000000100000101001000001111111001000000011110000000001100010,,[],0,225.843
1,00100100001000011101111100110001101111000011110100000100000010111000100101110000,,[],0,20.846
1,01001110001000000100000001100001101110000111000100001000111100000000111001100000,11011000001000001011001001111101110001000111111000000101100010001001000101111000,[],0,5.471
1,00000011011100000111000010000000101100000101100000101100010000100000100001000000,,[],0,503.687
1,01001100001000111010001000000000101110000000011100001001100000100011100011000000,,[],0,23.995
1,01000000101010000000001100000000111000000001110001000100000000001000000001110000,,[],0,30.626
1,11001010001000100010000000000000100010000010010000001000111000110010111001100000,,[],0,29.916
1,00001110100100001100010000010000001001100010110101100100000001011000000101110011,,[],0,25.314
