node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,10001000101110010101011000010100100110001001101010101001011001101001010000011000,,8,1,0,62.037
0,00001000101110110101001001000100100100101101001010100000011001101011010000011000,,9,0,0,19.793
0,00011000001010010110011010010001010110100100100100101000011010100101110100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.017
1,00001000001010100111001010101011101011010111110000111101010101100010011000011001,,7,1,0,9.786
2,01100000001001100011001011100111000011000001100100001101010101001110100100000100,,7,2,0,17.516
3,01111001001011010011100000001100011101110101100001000110101000100000011100100000,,9,0,0,29.557
3,01000100100000001000110101101010000010111110111000110000000101001111010001011110,00110111101100111101110000000111101110001000011011110101101010011011000100010011,8,0,1,5.747
3,01111011000011010011100000001100011101110100100001010111101100110000011100100000,,7,1,0,13.52
5,00000000000000100110101000000001001101100010010110000011000000110001111010000000,,9,0,0,30.3
5,00000001011110000100000011001000101001000111110010000000010011001000000100001000,01000010001110110011000000010101111100100110100100000011001011110011000000000101,8,0,1,0.018
