"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00000000000000000000000000001000000011010000001100010011110010111100001110000000",5,3563.5018858570265,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",22,9,1,0,0.766551725023148,417.6655605873408,459.91945972982666,2.941150706965918,0
1,"b00000000100000010111000000100000111111100111011110010011000010100000000010000000",5,7483.410015240577,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",13,7,0,0,0.7195325256969639,122.65735826246743,195.34217398871732,3.952140843416969,0
2,"b00000000000000011000000111000000111001000111111000111111000010101010000000000000",4,4297.3433788391685,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",21,10,0,-1,0.7267844932092115,74.94882543979232,152.30028944244498,2.289091591815176,0
3,"b01001000000000100000011010011100011111110101111000011111011001101100001000000000",1,3681.97349006577,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",22,11,0,0,1.001301149633151,205.08666519083732,101.4181409580373,5.109299998217903,0
4,"b00000000000000000000000001111011000110101101111000111111110111001111110011100010",3,4896.674875530747,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",17,11,1,0,0.770719052143596,251.60607701127051,76.97000493950496,4.367508170005072,0
5,"b00000000000000000110000000111101110110000100100000001011000010101100110100000000",0,5099.169629503342,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",21,4,0,0,0.7085016677715186,304.7984392062348,417.78051041833635,4.2118539954626835,0
6,"b00000000010000000110001011101000111101100111101110111110110000011000000001000000",5,5568.354184129963,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",17,16,0,0,0.7610026230769887,240.3121668589399,34.93203511689227,3.336125710238224,0
7,"b10000100101011111110000111110011011111001011101000001111100001100000000100000000",0,2886.3366608695997,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",19,15,0,-1,0.7876986818921146,475.2424466843828,132.76540730400748,0.5326484606544465,0
8,"b00000000000000000000101000000000110000100010000110001100100000110000000000000000",5,6857.368176560186,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",24,5,0,0,0.7128881575989691,172.53732969824085,44.91686506155012,5.025748077345103,0
9,"b00000001110001100100000111000010010011000111100100001100000000000000000000000000",2,1349.6758611491787,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",23,7,-1,0,0.7783330389325482,45.64866440394926,393.18411464804024,5.328797268063774,0
10,"b00000000000000100110000111111000001111110000111100000000000000000000000000000000",5,9662.95821830279,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",22,9,-1,1,0.7355830943317587,346.62665371924913,502.47022465366666,1.5149238364705477,0
11,"b00110000000010000000010010000000111100000000100000000010000000000011110000000111",4,2736.3112144085135,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",27,9,0,1,0.7770382220442986,285.160988866626,210.00946220394295,3.3432223424902463,0
12,"b10001000000110110101011101000100000100100100101000101001011001100011000000001000",0,9016.71844405856,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",12,0,0,0,0.7205033842878126,308.8205558130586,379.2430899085675,4.260281409816753,0
