"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00010000001000010000000000000000000100001000110000000010000000000100001000001000",5,1385.543982848414,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",25,4,0,-1,0.8558386167625095,351.3165424145032,373.59897078405186,5.53523945491819,0
1,"b00000000000100000000001001000000001111000000111110000000011000000000000000000000",5,6261.551504593541,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",23,5,0,0,0.7075533390492553,206.7880918405174,109.00086338929518,2.683961662691,0
2,"b00010000000001100000000111000011111100000000110000000000000000000000000000000000",5,4083.2301072114515,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",24,6,-1,-1,0.6946827251348885,417.23246025867104,33.53506618488747,5.663884550519375,0
3,"b11001100000010110000111011000100100000000001000000000101000110100000010010000010",0,2226.6751869364143,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",26,9,0,0,1.4880565390644434,432.50935986218855,314.9684268838522,4.846562107907344,0
4,"b00010000000101111010000011111000001111100110110000000110000000011000001100000000",5,3659.163759664165,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",17,12,0,0,0.7678550192624916,481.11747558846616,124.9411918201575,1.9337148005357563,0
5,"b00000001000000110100000000000000000000000110010000000010000000100000000000000000",5,1816.4195041531411,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",26,3,0,0,0.7326051771267251,221.41900894870588,247.76341668781205,4.633036939922834,0
6,"b00000000000111100000011011100000001111110110000111010011100000000000000000000000",5,2760.037999447471,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",18,10,0,0,0.717443010617746,384.5625479068572,311.3006584516339,0.5707532339378337,0
7,"b00000001000001011100000011110011111101001110000100001100010000000000000000000000",5,5719.3990731367285,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",19,10,-1,-1,0.739363060401956,359.2187885634603,6.591682878257883,0.5212946603677147,0
8,"b01100000001100000000000000100001000011000000001110000011111000001101000000010100",5,4622.361523629524,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",22,11,0,0,0.7239716680100206,419.18255526757747,456.4847173565411,2.9029038167311194,0
9,"b11000000000000000000000000000000000111000000011000000001100000000000010000000000",4,1005.8828407308052,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",30,4,0,0,0.7348794864061263,369.26344287706456,375.7691290482231,2.0488980555980345,0
10,"b00000000000000000000100000000000000010000011011111001111000000010000000000000000",4,3965.073722645432,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",26,4,1,0,0.7777900117702216,175.8278512473706,77.342416600405,0.42968363315689173,0
11,"b00000000000100010011110100110011010110100000011010001011000000111011100000001100",5,4668.977364646078,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",14,11,0,0,0.7372323490125487,437.0805218208479,358.6263997015687,4.562247757088311,0
12,"b00000000100000111100011111111001011111000000100110111010001000100100010000010001",0,3587.59891287715,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",19,11,0,0,0.7368825980823448,467.90371222523976,188.16523780930396,4.745617397667727,0
13,"b01000010110100110000010000000100000100001011001001001010111000011011100010110000",0,2052.603087740315,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",23,11,0,0,1.4364874958649614,1.46911653599539,33.86734481224647,3.307838503301034,0
14,"b00010000000010000000111100001001101101110000000110011111111000100011100000000111",5,4773.108141776767,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",15,14,0,0,0.7654928452429652,79.38989895854505,264.9040435752288,6.274801069877466,0
15,"b00100000000010000000010011000001111111001010011011000000000000000000000000000000",5,4061.4167410764894,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",22,8,0,0,0.7172743758598341,292.2454980083285,354.16453134820637,2.7564444785991364,0
16,"b10000000001000000000111010000011101010000101101010010010110000000011000000000000",4,2568.43886677293,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",21,7,0,-1,0.7842219578015958,154.192748107415,7.516305898274734,2.1482040327933536,0
17,"b00000000001000000000110000000000000101100010010101001111010000000000000001000000",5,8599.247154069644,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",22,6,1,0,0.7421115935754027,328.67990847827684,321.35236367670956,1.2150493382587668,0
18,"b00000000000000000000000000000000100111100111111110011101000000000000000000000000",5,4867.8983283661055,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",22,7,0,0,0.7340183234938007,37.17428202149538,478.1011806442193,1.1194006321942132,0
19,"b00010000001110000010011010000000010010110100100110101010111010101000110000000001",0,4352.284789476762,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",14,2,0,0,0.762834967153504,51.75428642772922,453.36032257368527,3.7173725430150704,0
20,"b00000000000100100000000000100000000010000000001100000000110000000010000010000000",4,2011.937861248512,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",28,2,0,1,0.7440339020188158,438.17348392565384,212.16053917979193,5.496437107154655,0
21,"b00000000000000000000000011000000001000000000010000000100000100000000000000000000",5,2371.884742867393,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",27,1,-1,0,0.6403127515215581,229.85859594412096,197.32003928310326,2.2898936991881342,0
22,"b00000100000000011100001001110000000110000110111000000001000110010111010110010000",5,3754.786510680332,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",20,14,0,0,0.9704850419248385,195.2189456360607,197.37657922297944,3.8191277769734766,0
23,"b00000000000011000000011111100001111111000011100110000000001100000000010000000000",5,5909.297857993144,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",18,9,-1,0,0.7484773413830522,373.49042756414633,84.10189151846038,6.0616512343625075,0
24,"b00101011000011011011000000001100011101100100000001011110101100010001100100100000",3,6703.915182304992,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",15,4,0,0,0.7095529827184952,339.376753801723,119.45476575962918,5.12873355693049,0
25,"b00000000000000000100110111111001111111100011111110111001101000100011100000000000",5,2936.0162578566215,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",14,16,0,0,0.7484977886169183,490.4808224603772,301.1454699055444,5.6684855827564125,0
26,"b01110001000111000010100000001000011111111101100110001110100000000000000100000000",3,4286.115927654209,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",19,5,0,0,0.7404889739805723,331.3582539659112,82.74196452213623,4.28251878121783,1
27,"b01100000010011011000001011100101000111000001100110000000010101101000110100000100",2,7076.846967592401,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",11,4,0,0,0.7681025226488549,433.7068271469929,285.2198788470206,2.501779946882979,0
28,"b01000000001001000000001101100000101011000000100110000011111100001000000000111000",5,2114.916045959616,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",20,12,0,0,0.7782584341920211,204.66312967368165,285.1169237717004,2.6558349990458936,0
29,"b00000010000010101010000100110001101100000100000110111110000010100000000000000000",4,4680.906093602416,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",25,11,0,-1,0.7342976117005469,259.4537564100028,25.738790892089778,3.4609431923761638,0
30,"b00100000011001101001001010000111100000001001000110001011010000101010110100000100",2,6920.2068879344315,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",10,2,0,0,0.7020463735461537,197.99448399526702,112.98712520010506,4.679023534321743,1
31,"b00000000000000100000001010000000000110000001011000001100000000001000000010000000",4,3972.4527639798466,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",27,3,1,-1,0.7168957256413128,109.55812897570691,175.53282668582008,0.7973617756089555,0
32,"b01001000001100100000110110000000001111111011011111100111011011011001000110000011",1,2819.0984546633263,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",17,11,0,0,0.7524328695586714,147.02977641571655,60.78725257013221,3.3934480358624737,0
33,"b00100000000001100000000011100011001100010000001000000000110000000001110000000000",2,2972.6521503117137,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",25,6,-1,0,0.7670075935274577,385.5924827280927,18.96121697198777,0.735202933627177,2
34,"b01000000001100000000001110010001011111110001111110000101111000010110000000000000",4,3048.9442558875053,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",20,13,0,0,0.7689247147112876,443.23366133353244,45.29706062985445,5.122410119310631,0
35,"b00110110000101011000011111100001001010001011000010110000010100100000001000001000",2,3434.726578976375,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",21,13,0,0,0.8727413683482914,352.1958564750374,307.54109160042333,0.7902168955554394,2
36,"b00000000000110000000011111000001100111010000100000000011110000000101000000000110",5,3531.9641041016293,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",22,12,0,0,0.7332595784331298,61.02062358890568,363.1099806007179,5.135938232556165,0
37,"b10000000001111110110000011100000011111000100111110000111110000010100000000000000",5,4558.735475950699,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",16,14,0,0,0.7666560268666254,320.6122261783854,84.51630632486979,3.7510328133095445,0
38,"b10001000001011000111001000101000101010100011011001111111101000011000001010100000",4,7698.592425460411,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",7,4,0,0,0.7542872718258006,100.12107495775757,62.112350046226034,0.768885499013565,0
39,"b00000011100000011100000111111001111110001111000000000100000000000000000000000000",5,2547.007593030957,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",20,11,-1,0,0.7465686075476985,421.0102159595313,181.02726990423008,3.729427182158571,0
40,"b00001000000111111011011000101000000000100011011101110101010000001000001010001000",4,6881.541038619726,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",12,5,0,0,0.7318363811069576,204.12991331861397,440.84885473559444,0.8862500977156069,1
41,"b00000011000000001000100010011011011101101111110000111001000000001000000010100000",5,2776.5674793147527,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",19,14,0,-1,0.7665774495469789,251.59817804930506,183.72339531293062,1.5035105769223267,0
42,"b01000000001000100000000001110000000101100000000100000010000000001011000000011000",5,2842.8471385236203,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",23,7,0,0,0.7694949077817558,143.52977279529583,340.03078224704365,4.359728733607145,0
