node,origami_data,decoded_stream,errors_positions,success,decoding_time
0,00000000011111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 5]]",1,0.004
0,00000100001111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 9]]",1,0.004
0,00000100010111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 10]]",1,0.003
0,00000100011011110001100000100111101010000111000010001001000011110001000001101000,01000100011011110001100000100111101010000111000010001001000011110001000001101000,"[[1, 11]]",0,0.061
0,00000100011101110001100000100111101010000111000010001001000011110001000001101000,01000100011101110001100000100111101010000111000010001001000011110001000001101000,"[[1, 12]]",0,0.042
0,00000100011110110001100000100111101010000111000010001001000011110001000001101000,01000100011110110001100000100111101010000111000010001001000011110001000001101000,"[[1, 13]]",0,0.04
0,00000100011111010001100000100111101010000111000010001001000011110001000001101000,01000100011111010001100000100111101010000111000010001001000011110001000001101000,"[[1, 14]]",0,0.043
0,00000100011111100001100000100111101010000111000010001001000011110001000001101000,01000100011111100001100000100111101010000111000010001001000011110001000001101000,"[[1, 15]]",0,0.046
0,00000100011111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 19]]",1,0.003
0,00000100011111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 20]]",1,0.003
0,00000100011111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 26]]",1,0.003
0,00000100011111110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 29]]",1,0.003
0,00000100011111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 30]]",1,0.004
0,00000100011111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100110101010000111000010001001000011110001000001101000,"[[1, 31]]",0,0.042
0,00000100011111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 32]]",1,0.003
0,00000100011111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 34]]",1,0.003
0,00000100011111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 36]]",1,0.004
0,00000100011111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000011000010001001000011110001000001101000,"[[1, 41]]",0,0.045
0,00000100011111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 42]]",1,0.003
0,00000100011111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 43]]",1,0.003
0,00000100011111110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000000001001000011110001000001101000,"[[1, 48]]",0,0.044
0,00000100011111110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 52]]",1,0.003
0,00000100011111110001100000100111101010000111000010001000000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 55]]",1,0.003
0,00000100011111110001100000100111101010000111000010001001000001110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 60]]",1,0.003
0,00000100011111110001100000100111101010000111000010001001000010110001000001101000,01000100011111110001100000100111101010000111000010001001000010110001000001101000,"[[1, 61]]",0,0.043
0,00000100011111110001100000100111101010000111000010001001000011010001000001101000,01000100011111110001100000100111101010000111000010001001000011010001000001101000,"[[1, 62]]",0,0.043
0,00000100011111110001100000100111101010000111000010001001000011100001000001101000,01000100011111110001100000100111101010000111000010001001000011100001000001101000,"[[1, 63]]",0,0.045
0,00000100011111110001100000100111101010000111000010001001000011110000000001101000,01000100011111110001100000100111101010000111000010001001000011110000000001101000,"[[1, 67]]",0,0.042
0,00000100011111110001100000100111101010000111000010001001000011110001000000101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 73]]",1,0.003
0,00000100011111110001100000100111101010000111000010001001000011110001000001001000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 74]]",1,0.004
0,00000100011111110001100000100111101010000111000010001001000011110001000001100000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[1, 76]]",1,0.003
0,01000000001111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 9]]",1,0.004
0,01000000010111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 10]]",1,0.004
0,01000000011011110001100000100111101010000111000010001001000011110001000001101000,01000100011011110001100000100111101010000111000010001001000011110001000001101000,"[[5, 11]]",0,0.045
0,01000000011101110001100000100111101010000111000010001001000011110001000001101000,01000100011101110001100000100111101010000111000010001001000011110001000001101000,"[[5, 12]]",0,0.046
0,01000000011110110001100000100111101010000111000010001001000011110001000001101000,01000100011110110001100000100111101010000111000010001001000011110001000001101000,"[[5, 13]]",0,0.042
0,01000000011111010001100000100111101010000111000010001001000011110001000001101000,01000100011111010001100000100111101010000111000010001001000011110001000001101000,"[[5, 14]]",0,0.046
0,01000000011111100001100000100111101010000111000010001001000011110001000001101000,01000100011111100001100000100111101010000111000010001001000011110001000001101000,"[[5, 15]]",0,0.043
0,01000000011111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 19]]",1,0.003
0,01000000011111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 20]]",1,0.004
0,01000000011111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 26]]",1,0.003
0,01000000011111110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 29]]",1,0.004
0,01000000011111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 30]]",1,0.004
0,01000000011111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100110101010000111000010001001000011110001000001101000,"[[5, 31]]",0,0.043
0,01000000011111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 32]]",1,0.003
0,01000000011111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 34]]",1,0.003
0,01000000011111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 36]]",1,0.004
0,01000000011111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000011000010001001000011110001000001101000,"[[5, 41]]",0,0.045
0,01000000011111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 42]]",1,0.003
0,01000000011111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 43]]",1,0.003
0,01000000011111110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000000001001000011110001000001101000,"[[5, 48]]",0,0.046
0,01000000011111110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 52]]",1,0.003
0,01000000011111110001100000100111101010000111000010001000000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 55]]",1,0.004
0,01000000011111110001100000100111101010000111000010001001000001110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 60]]",1,0.003
0,01000000011111110001100000100111101010000111000010001001000010110001000001101000,01000100011111110001100000100111101010000111000010001001000010110001000001101000,"[[5, 61]]",0,0.044
0,01000000011111110001100000100111101010000111000010001001000011010001000001101000,01000100011111110001100000100111101010000111000010001001000011010001000001101000,"[[5, 62]]",0,0.044
0,01000000011111110001100000100111101010000111000010001001000011100001000001101000,01000100011111110001100000100111101010000111000010001001000011100001000001101000,"[[5, 63]]",0,0.043
0,01000000011111110001100000100111101010000111000010001001000011110000000001101000,01000100011111110001100000100111101010000111000010001001000011110000000001101000,"[[5, 67]]",0,0.045
0,01000000011111110001100000100111101010000111000010001001000011110001000000101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 73]]",1,0.004
0,01000000011111110001100000100111101010000111000010001001000011110001000001001000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 74]]",1,0.004
0,01000000011111110001100000100111101010000111000010001001000011110001000001100000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[5, 76]]",1,0.004
0,01000100000111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 10]]",1,0.004
0,01000100001011110001100000100111101010000111000010001001000011110001000001101000,01000100011011110001100000100111101010000111000010001001000011110001000001101000,"[[9, 11]]",0,0.046
0,01000100001101110001100000100111101010000111000010001001000011110001000001101000,01000100011101110001100000100111101010000111000010001001000011110001000001101000,"[[9, 12]]",0,0.044
0,01000100001110110001100000100111101010000111000010001001000011110001000001101000,01000100011110110001100000100111101010000111000010001001000011110001000001101000,"[[9, 13]]",0,0.045
0,01000100001111010001100000100111101010000111000010001001000011110001000001101000,01000100011111010001100000100111101010000111000010001001000011110001000001101000,"[[9, 14]]",0,0.048
0,01000100001111100001100000100111101010000111000010001001000011110001000001101000,01000100011111100001100000100111101010000111000010001001000011110001000001101000,"[[9, 15]]",0,0.046
0,01000100001111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 19]]",1,0.003
0,01000100001111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 20]]",1,0.003
0,01000100001111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 26]]",1,0.004
0,01000100001111110001100000100011101010000111000010001001000011110001000001101000,01000100001111110001100000100011101010000111000010001001000011110001000001101000,"[[9, 29]]",0,0.048
0,01000100001111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 30]]",1,0.003
0,01000100001111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100110101010000111000010001001000011110001000001101000,"[[9, 31]]",0,0.044
0,01000100001111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 32]]",1,0.003
0,01000100001111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 34]]",1,0.003
0,01000100001111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 36]]",1,0.004
0,01000100001111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000011000010001001000011110001000001101000,"[[9, 41]]",0,0.046
0,01000100001111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 42]]",1,0.003
0,01000100001111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 43]]",1,0.003
0,01000100001111110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000000001001000011110001000001101000,"[[9, 48]]",0,0.043
0,01000100001111110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 52]]",1,0.004
0,01000100001111110001100000100111101010000111000010001000000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 55]]",1,0.003
0,01000100001111110001100000100111101010000111000010001001000001110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,"[[9, 60]]",1,0.004
0,01000100001111110001100000100111101010000111000010001001000010110001000001101000,01000100011111110001100000100111101010000111000010001001000010110001000001101000,"[[9, 61]]",0,0.045
0,01000100001111110001100000100111101010000111000010001001000011010001000001101000,01000100011111110001100000100111101010000111000010001001000011010001000001101000,"[[9, 62]]",0,0.046
0,01000100001111110001100000100111101010000111000010001001000011100001000001101000,01000100011111110001100000100111101010000111000010001001000011100001000001101000,"[[9, 63]]",0,0.043
0,01000100001111110001100000100111101010000111000010001001000011110000000001101000,01000100011111110001100000100111101010000111000010001001000011110000000001101000,"[[9, 67]]",0,0.046
