node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00110001101000000100000010001100001000011100000010001010100001011010011101001101,,8,0,0,26.681
2,00111000101000000100000010001000001000011100000000001011100011011010011101001101,11011011111101101101001011110011000000100000100011010010001010010001000011100010,8,0,0,11.79
2,00110011000001011011000111010001100000111000010000010001000000100000010110001100,,9,0,0,29.878
2,00111001101000000100000010001000001000010100000100001011100010010010001111001101,,9,0,0,29.538
2,00010001101000000100000010001000001000011100000110001011100011010000011111011101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,0,1,0.033
2,00110011110001000111000111010001100000111000010000110001000000100000010000010100,11110011001111001011101011100011100001100100100001100010001110001001000010100000,9,0,0,7.1
2,00111001001000000100000000001100000000011100000110001011100011011110010110011101,,7,1,0,27.403
2,00110001101000000100000000001100001000011110000110001111100011111010000111001101,,6,2,0,20.574
2,00100001101000000100000000001000001000011100000110001011100011011010011111001101,11110010011101101001001111100011001001100110100011000000001010000001000010000111,7,0,0,22.627
2,00011001101000001100000010001100001000010100000110001011100010011000001111000101,00011001101000001111001011001101001000110110000111001011100010011000001111000101,8,0,0,0.891
2,00000001101000000100000010001100001000011100000110001111100011110010011111001101,10110111011111001011001111101011000001100000100011001010001110101001000000000110,6,1,0,2.061
2,00110000100000000100000010001000000000011100000110001011100011111010011101001101,,8,0,0,30.445
2,00110001101000000000000010001000000000011100000110001011100011111000011111000101,11110001011111110001011011100001100001100000000001000010001010000010100011000111,8,0,0,4.1
2,00110001101000000100000010000100001000010100000110001111100011111000011110001101,11100011011111100001001110100001100001100100101001000011000111001001000011100110,7,1,0,8.578
2,00110001101000000100000010000100001000011100100100001011100001011010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,1,1,7.226
2,00111001001000000100000010001100001000011100000010000011000011111010001011001001,,9,0,0,17.58
2,00011001100000000100000010000000000000011100000110001011000011111010011111001100,,9,0,0,31.674
2,00100001101000000100000010001100001000011100000110100010000011111010011111001101,11111011011111101001110010100011100001100000100101010010101111000001000010000110,7,1,0,8.024
2,10010011010011011011000111010001100000101000010000110001000000100000010110011110,,7,2,0,25.209
2,00110001101000000100000010000100001000011100000110001011100011111110011011100101,,6,2,0,21.607
2,00100001101000000100000000001100001000011100000110001011110010011010011111001100,00101001111100000101010000001100001000011100000110011011110010011010001111001100,8,1,0,6.381
2,00110001001000000000000010001100001000010100000110001011100011010010011111001101,10110011111011011011100111010001111000111000010000110001000010000000000010001100,8,0,0,0.981
2,00110001101000000100000010001100001000011100000110001011100001111000011110001001,,7,0,0,24.376
2,10110011111001011011000111010001100000011000000000110001000000100000010110000100,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,0,1,2.632
2,00010001101000000100000010001100001000001100000110001010100011011010011011001101,10111011011111101001011010101011000011110000100100000010001110000001000001000110,8,0,0,3.157
2,00110001001000000100100010001100001000011100000010001011100011111110011111001101,01110011011111111001111011100011000000100100101001100010001110000101000011000111,5,2,0,13.79
2,00100001101000000100000010001100001000011100000100001011100001010010011111001100,11110111001101101001001011100111000001000000100011000010001110001101100010000110,9,0,0,15.057
2,00101001101110000100000010000100000000010100000110001001100011111010011111001101,,7,2,0,22.896
2,00011001101000000100000000001100001000011110000100001001100011111010011111001000,11110010001111101001001101110011110001100000000011000000001110100001000011100110,8,1,0,11.253
2,00101000101000000100000010001100001000011100000100001011100001011110011111001101,,7,1,0,30.892
2,00110001101000000100000010001100001000001110000100001011100011110000011111001101,11110011011111000001001001101011100001010100100000000110001111000101000011010110,7,1,0,11.357
2,00111001000000000100000010001100001000011110000100001011000011111010011111111000,,7,2,0,30.637
2,00110001100000000100000000001000001000011000000110001011100011011010011111001001,11110010011101101101011011100010000001100000100011000000001010110001100011000111,9,0,0,0.817
2,00111001101000000100000010001100001000011100000010001001100011010010011111001101,11111011011101011001001001100011000000100001100011011010001110010011000011100110,6,0,0,1.431
2,00111000101000000100100000001100001000011010000110001011100011111010010111001100,,7,2,0,26.438
2,00110001101000000100000010001100001000011100000100001011100010011010010101001100,01010011001101101101001011101011000001000000100001000100001111000011000111000110,9,0,0,2.354
2,00110001101000000100000010001100001000010100000110001010100011011010001011001101,,8,0,0,23.675
2,00010001001000000000000000001100001000011100000110000011100001111010001111011101,,9,0,0,33.208
2,00110001101000000100000010001100001000011100000010001011100011110010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,5,0,1,0.755
2,00010001101000000100000010001100001000011100000010001011100001011010011111001100,,8,0,0,28.021
3,00000000001000000001000001000000001000010000000000000000000001101000011100000000,00010000001001000101010010001010000100101000000000000000000010000101100000000011,8,0,0,1.99
3,00000000000010000001000001000000001110010000010010011000000000111000011000000000,00000010001101000101100011000010011100000100100000010000011010001111000000000001,6,3,0,5.323
3,00000000000010100001100000000000001010010000010000000000000001110000001100000000,,7,1,0,34.756
3,00000000100000000110000000000000001000001001010000001010000010000100000000010000,,8,1,0,45.644
3,01001000000010000001000001000000001010000000010010000000000000101000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,0.03
3,00001000000010100001000100000000000010010000010010000000001001011000011100000000,,5,2,0,33.998
3,01001000001110000001000001000000001110010000010000000000000000111000011100000000,10000100101010010111100010000011010100000000100000000000000010000111100000000011,3,2,0,3.534
3,00000000001000100001000000000000001000010000010010000000000001111000011100000000,00101100101001010001000000000011000100000100100000010000000010100111100000000011,5,0,0,8.077
3,01000000001010010000000000000000001010010000010000000100000001011000001100000000,,7,2,0,42.222
