node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00110001101000000100000010001100001000011100000010001010100001011010011101001101,,8,0,0,1.898
2,00111000101000000100000010001000001000011100000000001011100011011010011101001101,11000001011101101001001011100011000000110000100101000010001010000101000011101010,8,0,0,2.118
2,00110011000001011011000111010001100000111000010000010001000000100000010110001100,,9,0,0,0.016
2,00111001101000000100000010001000001000010100000100001011100010010010001111001101,,9,0,0,1.9
2,00010001101000000100000010001000001000011100000110001011100011010000011111011101,11110111011100001011001011100001100001100000100001000010001010000001000001000111,7,0,0,0.354
2,00110011110001000111000111010001100000111000010000110001000000100000010000010100,,9,0,0,0.812
2,00111001001000000100000000001100000000011100000110001011100011011110010110011101,01100110001101111001000011100011001001100000000111000000001110001001000011100100,7,1,0,1.933
2,00110001101000000100000000001100001000011110000110001111100011111010000111001101,00010001101010000101000000001100101001011110000110101111100011111000000111001101,6,2,0,0.585
2,00100001101000000100000000001000001000011100000110001011100011011010011111001101,11110011001101101001001011100010000001100000100001000000001010000001000110000111,7,0,0,0.01
2,00011001101000001100000010001100001000010100000110001011100010011000001111000101,,8,0,0,1.546
2,00000001101000000100000010001100001000011100000110001111100011110010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,6,1,1,1.515
2,00110000100000000100000010001000000000011100000110001011100011111010011101001101,,8,0,0,1.976
2,00110001101000000000000010001000000000011100000110001011100011111000011111000101,11110001011111100001000111100011000001100000010001001000001011000010000011000110,8,0,0,1.691
2,00110001101000000100000010000100001000010100000110001111100011111000011110001101,11100011011111100001000111000001000001100010100001100000000110010101000011000110,7,1,0,2.277
2,00110001101000000100000010000100001000011100100100001011100001011010011111001101,,7,1,0,2.344
2,00111001001000000100000010001100001000011100000010000011000011111010001011001001,,9,0,0,0.531
2,00011001100000000100000010000000000000011100000110001011000011111010011111001100,,9,0,0,0.987
2,00100001101000000100000010001100001000011100000110100010000011111010011111001101,,7,1,0,3.377
2,10010011010011011011000111010001100000101000010000110001000000100000010110011110,,7,2,0,0.269
2,00110001101000000100000010000100001000011100000110001011100011111110011011100101,,6,2,0,2.464
2,00100001101000000100000000001100001000011100000110001011110010011010011111001100,,8,1,0,0.069
2,00110001001000000000000010001100001000010100000110001011100011010010011111001101,11110001011001001001001011100001001001100100100001101000001110000000000011000101,8,0,0,3.249
2,00110001101000000100000010001100001000011100000110001011100001111000011110001001,10100010011111100001001011100011000001100011100001000110001110000001100011000110,7,0,0,0.322
2,10110011111001011011000111010001100000011000000000110001000000100000010110000100,11110111011101101001001010110010000001101100000001000010001110001001000010000110,7,0,0,1.668
2,00010001101000000100000010001100001000001100000110001010100011011010011011001101,,8,0,0,0.648
2,00110001001000000100100010001100001000011100000010001011100011111110011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,5,2,1,1.267
2,00100001101000000100000010001100001000011100000100001011100001010010011111001100,,9,0,0,1.281
2,00101001101110000100000010000100000000010100000110001001100011111010011111001101,11110011001111111001001000100101000001100010000001001010000111100000000010100110,7,2,0,1.445
2,00011001101000000100000000001100001000011110000100001001100011111010011111001000,11110010001111101001001000001011100101000000100001000000001110010001000001110100,8,1,0,1.176
2,00101000101000000100000010001100001000011100000100001011100001011110011111001101,,7,1,0,5.916
2,00110001101000000100000010001100001000001110000100001011100011110000011111001101,10110011011111000001001011100111100001000000100001110010001110001001000011000110,7,1,0,0.643
2,00111001000000000100000010001100001000011110000100001011000011111010011111111000,,7,2,0,1.58
2,00110001100000000100000000001000001000011000000110001011100011011010011111001001,11110011001101101001001011100010000001100000100001000000001010000001000110000111,9,0,0,0.284
2,00111001101000000100000010001100001000011100000010001001100011010010011111001101,11000011011101001001001001000011001000110000100001000010001110000000100011100110,6,0,0,1.546
2,00111000101000000100100000001100001000011010000110001011100011111010010111001100,01110011001111001001001011100010100001100001000001100000001110100101000011110010,7,2,0,0.129
2,00110001101000000100000010001100001000011100000100001011100010011010010101001100,,9,0,0,8.185
2,00110001101000000100000010001100001000010100000110001010100011011010001011001101,,8,0,0,0.78
2,00010001001000000000000000001100001000011100000110000011100001111010001111011101,,9,0,0,6.738
2,00110001101000000100000010001100001000011100000010001011100011110010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,5,0,1,0.024
2,00010001101000000100000010001100001000011100000010001011100001011010011111001100,01100110001010000001010001100010000100000100000011000101010010010110100011000111,8,0,0,0.476
3,00000000001000000001000001000000001000010000000000000000000001101000011100000000,,8,0,0,1.012
3,00000000000010000001000001000000001110010000010010011000000000111000011000000000,,6,3,0,2.746
3,00000000000010100001100000000000001010010000010000000000000001110000001100000000,,7,1,0,7.645
3,00000000100000000110000000000000001000001001010000001010000010000100000000010000,,8,1,0,3.23
3,01001000000010000001000001000000001010000000010010000000000000101000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,0.035
3,00001000000010100001000100000000000010010000010010000000001001011000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,2,1,1.206
3,01001000001110000001000001000000001110010000010000000000000000111000011100000000,00000100101000000111000010000000000100000000100000000000010010110111000000010011,3,2,0,1.149
3,00000000001000100001000000000000001000010000010010000000000001111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,0.082
3,01000000001010010000000000000000001010010000010000000100000001011000001100000000,,7,2,0,1.946
3,00000000011000011010000000000001000000011001000000000011000000000101100000010010,,6,3,0,2.49
3,00000000111000010100000000000000000000001001010000000110000010001100000000010000,,7,2,0,0.646
3,01000000001000000001000011000000001000010000010010001101000001111000010100000000,01000000101000010001000010010010000100000100000000000010110110000101100000000010,5,4,0,1.291
3,00000000001000000000000000010001001000001000010000000010000010000101010000010010,,7,1,0,0.334
3,00000000000110000001000001000000000000000000000010000000000001111000011100000000,,8,1,0,5.307
3,01000000000000100001000000000000000010010000010000000000000001111000011100000000,,6,0,0,0.319
3,01000000000000000001000011000000001000010000010000000000000001111000010000000000,,8,1,0,1.792
3,01001000001100100001000111000000001010010000000010000000000000110000000100000000,,6,3,0,0.286
3,00000000000000011010000000100001001000001000010000000000000000000101010000000010,,8,1,0,2.137
