node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00001000101011100011100000000100010101110100001110000010010001000000110000010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,7,0,1,0.789
0,00010000001101000010010000000000110000101111101000110100100111000111000100010000,,7,2,0,27.544
0,00011011001101000000011101000001010000101100101000100000100011000111010100010000,01000100001100011101100010100011001010000111000010011111000111010010100001101010,6,2,0,4.063
0,00001000001011100010100100001100010001110100001010000010111000000010110000011000,00000110001011001111010010111001000010100001000111111100001110111000100000100100,7,1,0,0.596
0,00000010001001001010011001000001110000000110001000110000100101000111010000010001,,8,1,0,16.968
0,00001000001101000010011001000001010000101110001000100000100110000011000100010001,00001000001101010011011001001001010000101110001000100000000111000011000110010001,8,0,0,2.382
0,00001000001011100011100100001100010001110100001010000010111001010110110001001000,00000100001100111101110000101111100010010101000010111101001011011010101000001000,5,3,0,6.54
0,00000010001101100010011100000001110000101110100000110000000101000111010100010001,,6,2,0,24.917
1,11000110101000111111000010100000101110000111011100001000111100110000110001000000,,4,2,0,21.562
1,00000110001100001100111000010000100011100011010100000100000011111100010001110011,00011100111111110001010100000000110101001010001111111000111011000011001000011010,5,0,0,19.198
1,00000100001000001100111100010000101001100001110100000100000001110100010101100011,,8,0,0,28.49
1,00000110011100001100011100010000101010100000110100000100000011111100010101110010,01011100101111110001000100000001001111100010101010111100000011000011101100011001,5,0,0,13.003
1,11001110100000101111000000100000101111000110111100000001111100110010111001100000,,4,4,0,21.744
1,01001100001000111111000001100000101111000010010100001000111100110000111001100000,,5,1,0,25.005
1,00000110011000001100110100010000101011000011100100000000000011110000010101110010,11011100101111001001000000100100111001100000101100110100011010010011000000011001,8,0,0,4.073
1,00001110011100001100011100010000101001100011110100000000000001011000010101010011,,7,1,0,20.097
1,11001110001000101111000000100000101110000101010100001000111000100000110001000000,00011100111111010001010100000100011101110110111010011100010011000101001000001000,8,0,0,0.256
2,00111001101000000100000010001100001000011100000010001011100010011010011011001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,6,0,1,0.03
2,00110001101000000100000010001100000000011100000110001011100010111110011111001100,11110011001111111001001010100011000101100000010001000010001110010101100011010110,6,1,0,9.322
2,00110001101000000100000000000100001000011100001110001111110011111110011111001101,,5,4,0,27.476
2,00110001101000000000000010001000001000011100000110001010100011111010010001011101,00010111011111101001001010110011100001100010100001010010001010000011100011000100,8,0,0,2.701
2,00111001101000000101000010001000001000011100000000001011000011111110011111101101,,6,3,0,22.663
2,00100001101000000111000010001100001000011100000110001010100011011010011111001101,,6,2,0,21.052
2,00110001101000000100000010001100001000011000000100001011100001010010011101001101,01100011001011000001110001000010100110000011000001100111010010010110101011101011,9,0,0,15.265
2,00111001101000000100000010000100011000010100000110001011100011011110011011001100,10110011101101111001001011100001101001110101100001001010000110000101100011100110,7,2,0,1.874
2,00110001001000000100000010001100001000011000000110001011100011001010010111001100,01111011001110111001001011100010000001101010100101000010001110000001101011000100,9,0,0,3.684
2,00110001100000000100000010001100001000011100000010001001100011111010011110000101,11100001011111101001001000101011000000100010100001010010001110010001000011000110,8,0,0,14.167
2,00111001000000001111000010001100001000011100000110001011100011011000011011001100,00111011011100011011000111000001101000111000010001110001000011111010100010011100,7,2,0,9.648
2,00110001101000000110000010001100001000011100100100001011100011111000010111000101,01110001011111111001001011100011001001000000100001000010101110000101100111000111,7,2,0,1.697
2,00100001101000000110000010001101001000011100000110000011100011111000011111001101,11111011011111100111000011110011000001100100100001000010001110100001100010001100,6,2,0,15.398
2,00111001101000000100000000001000001000011100000110001011100011011010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,5,0,1,0.633
2,00100001101000000100000010001100001000011000000110001101000011111010011111000101,11100001011111101001101101100011000001100000100001000010001111100001000010000110,8,1,0,2.654
2,10110001111001011111000111010000100000011000010000010001000000100000000110011000,,8,0,0,28.075
2,10010001101001111111000111010001100000011000010000110001000000100000010110001100,01100110011111111001011011110010000001100100110001000110011110001001000011000110,7,1,0,14.671
2,00111000101000000100000010001100001000011100000110000001100011010000010111001101,01010011011111001011000001100111000001101000101001000010001110000001000111100010,9,0,0,0.414
2,00110001101000000000000010001100001000011000000110001011100011010010011111001100,11110111011111101001001011100011000001100000100001000010001110000011000011100110,8,0,1,2.859
2,00000001101000000100000010001100001000001100000110001111100011111010011111001100,,7,1,0,27.787
2,00110001101000000100000010001100001000010100000110001011100011111000011111001100,11110111011111101001001011100011000001100000100001000010001110000011000011100110,6,0,1,0.566
3,00000000000010000001001011000000001010010000010010000000000001111000011000000000,,5,2,0,35.562
3,01001000001011000001001001000000000000010000010010000000000000111000001101000000,,5,3,0,42.938
3,01001000001010000000000001000000001110010000010011000000000001111000001100000000,,3,2,0,48.3
3,01001000001010110001000001000000001110010000000000000010000000100000001100000000,00100100101101110101000010000010011100000000000000010000000010000001000100000011,6,3,0,15.879
3,01001000001010100001000000000000001000010000010001000000000001101000000000000000,,7,1,0,39.44
3,00010000001110100001000001000000000010010000010010000000000000011000001110000000,00010000001111100011010001000000000010110000010010000000000010011001101110010000,6,3,0,6.65
3,01001000000010000001000001000000001010010000000010001000000001101000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,1,1,1.219
3,00001000000010100000000001000000001010010000010011000000000001110000011101000000,,4,2,0,43.511
3,01000000001010000001000001000000001010000000000010000000000001111000011101000000,00000000101001010101000011001010010100000110000000000000001010000111100000001111,4,1,0,7.58
3,00000000111000011100000000000001001000001011010000000000000000000000000000000000,,8,1,0,47.357
3,00001000000010000001000000000000001000010000010010000000000001111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,1.079
3,00000010110000011110010000000001010000001001010000000010010010000001000000010010,,4,4,0,42.107
3,00000000110000011000000000000001000000001000010000000010000010000001010000000000,,8,0,0,41.196
