node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00000000001101000010011001000001010000100100101000100010100111000011010100010001,01000100011110011101100000100101001010000111000010011001001011010011100000001000,8,1,0,6.656
0,10001000001111100001100100001100010101110000001010000000011000000010100001001000,,8,1,0,22.733
0,00010000001001000000011011000001110000100110101000110000100110000011010100010000,01000100001000011101111000101101101110000111000010011011000010110100000001010000,8,1,0,1.685
1,11001010001001101111000000100000101111000110000100001000111100111000111001000000,01011100111111011001000100001000111101101110001110111100010011000111000000001011,6,2,0,2.101
1,11001100101000111111000010100000001110000111010100000000111100110000011001100000,01001110111111110001010101001000011101000010101110111110000110000011000000111001,5,1,0,9.948
1,11001110101000111111000000100000101110000111010100001000111100010000110001110000,01011100111111110011000100001010011101000010101110111100011111100010100001111000,3,1,0,1.477
1,00000110011100000000111100010010101111000000110100000100000011111100010101110011,,5,2,0,14.214
1,11001110001000010111000000100000101110000101010100001000111000110000110001100000,00011101111110111001000100000100011101000010101010011100010011000011001110011000,7,0,0,5.466
1,01001000101000111111000000100000101011000111010100001000001100110000010000100000,11100100101111110011000100000000010101010010101110110000010010001111100000010000,9,0,0,0.038
1,11001010101000111111000000100000101101000111010000000000111100010000110001100000,01010100111111110101000100000000101101000100101110111101000011000010001000011010,6,0,0,0.907
1,00000110011100001100011100010000101001100001110100000000000000000100010101110011,,9,0,0,24.958
1,01001110101000010101000000100000101110000101000100000000111100010000111001100000,,9,0,0,28.619
1,00000110011000001100111100010000101011100001110100000100000011111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,2,0,1,0.005
1,00000010011100001100101100010000101111100011100100000011000001111100010101110010,10010010101011000011101000110101111101001010011100010011001010001111100100101010,6,3,0,5.435
1,00000110001000001000001100010000101011100011110000000100000011111000000101110001,10000110001010001011001100010000101011100011100000000100000011111100000101110001,9,0,0,1.737
1,00000110100000101111000000100000101111000111010100001000111000100000111100100000,,8,1,0,15.139
1,01001110101100111011000100110000111110000111010100001000111100110000111001100000,,3,4,0,13.173
1,00000000001000001100111000010000101010100011110100000000000011111100010001010011,00010100111111111001000000000011111101000100101011111000010010000011100000001000,9,0,0,3.08
1,00000110011000000100111100010000101001100011110100000000000011111000000100010001,00000110011000000101111110010011101001100011110100000100000011111100000100010001,9,0,0,6.005
1,11001110001000111000000000100000101101000111010100000000010100110000011001100000,,9,0,0,22.018
1,00000100011100000100001100010000100010100011110100000100000011111100010101110010,01111100101111110011010110010000111101000010001010011101010011000001000000010011,7,0,0,4.658
1,00000010011100001000111100110000101011100010010100000100000011111100010101100011,01011100111111110001000100000000100101000011001110111100111011100010000010101001,5,1,0,8.876
1,00000110001100001100011100010000101000100011110100000110000011111100010000010010,00100100101111110001000110010001011101000010100010011101010011101011000010011000,8,1,0,19.396
1,00000110000100001000111100010000100010000011110100000000000011111000010101110011,01011100101111100001000000000111111101001010001000111100010011101010000000011000,8,0,0,7.254
1,11001110101000011110000000100000101011000011010100001000111100100000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,0.13
1,00000010011100000000111100010000101011100001110100000000000011110100010101110010,01011100101111010101010001000000011101100110101110111100010011100000000000011001,7,0,0,0.359
1,00000010010110001100111100000000101011000001110100000100000011111000010100010011,,8,1,0,17.942
1,11001110101000011110000000100000101110000110010100001000111000110000101101100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,1,1,1.616
1,11000000101000011111000000100000101110000111010100001000101000110000101001100000,01000000111111110001100100000000011100000010101110011100010011000011000001011001,8,0,0,7.926
1,00000110001100000100010100010000100011100001000100001100000011111100010101110011,01011111111111110001001100000010010000000010001110010100110011010001000010011000,8,1,0,3.593
1,00000110000000001100011100010000100011100011100000000100000011011000010101110011,01011100111101101011010100001000111000000010001110011101010011000011100000011000,9,0,0,3.502
1,00000010011100001100111100010000101010100011110000000100000011001100010101010000,01010100001110110001010100000110111100000010111010111100010011000011000000001000,8,0,0,4.109
1,01000100100000011111000001100000101111000101010101001000111110110000111001100000,,6,3,0,17.501
1,11000110101000111010000000100000101111000011010100001000110100110000111101100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,1,1,0.025
1,11001100001000110011000000111000111111000111010110001000111100110000111001000000,,5,4,0,11.948
1,00000110011100000100111100010000101111100011110100000110000010101100000101110010,,5,2,0,15.367
1,00000100001100001100011100010000101010000001110100000100000001111000010101110001,,9,0,0,19.814
1,01001110101000111111000000100000100111000110011100011001111100110000010001000000,,6,3,0,10.007
1,11001110101000101111000000100000101101000110010100001000111100010000110001000000,01001100111111010001000100000001101101000010101110111100010011000010100000011001,6,0,0,0.18
1,00000100001100001100111100010000101011000011110100000100000010111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.011
1,00000110011000001000111100010000101010100010110000000110000011011100000101110001,00000111111000011001111100010000101010100010111100000110010011011101000101110001,8,1,0,6.422
1,11001110101000111011000000100000101111000111010100001000011100000000110101100000,01011100111111110001100100001010111101000010111110111000110011000001001000011010,5,1,0,7.895
1,11001110000000011010000000100000101111000111010100001000111100100000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,4.25
1,00000010011000001100011100010000101111100011110100000100000001111000010100000011,,8,1,0,22.103
1,11000100001000011101000000100000101110000111010100001000111100110000111101100000,00101001111111101001010100000000011101000010101110111100110011010111000000011011,6,1,0,0.724
1,01000110001000001111000000100000101101000111000100001000111100010000111000100000,00011100101111011001000100011000101101100010001110111100010011000010000000100001,9,0,0,12.594
1,00000110001000001100111100010000101010000010000100000110000011111000010101110011,01111100111111100011010110000000100101001010101000111110010010100011100000011000,8,1,0,2.719
1,00000110011100001100101100000000101011100001110100000100000010110000010101010011,01010100111011100001010100000010111101000010101110101100000011011011000000011011,7,0,0,1.703
1,11001110101000011111000000000000101111000101010100001000011100110000001001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,0.68
1,11000110101000011111000000100000101111000111010100001000111000100000110001100000,01011000111111100001000100000000111111100010101111011100010011100011100010011000,5,0,0,0.865
1,11001010101000011001000000100000101111000111010100001000111100110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.012
1,00000110011100001100011000010000001011100011110000000100000011011000010101110000,01011100001101100001000101000000111000110110101110011000010011001111000000011001,8,0,0,2.204
1,11001110100000011111000000100000101111000111010100001000111100110000011001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,3,0,1,0.008
1,11001010101000111110000000100000101111000111011100001000111100100000011001100000,01011100111111110101000100000001111101000011101110111000011010011001000000011001,4,1,0,0.187
1,00000110011100001100111100010000001011100001010100000100000001101000010001100011,,8,0,0,17.48
1,11001010101000111111000000100000101011000111000100001000111100010000010000100000,01010100111111110101000100100000110101010010101110111100010011010010001000110000,7,0,0,9.638
1,00000110001100000100010000010000101011100001110100000100000001111100010101100011,,8,0,0,20.788
1,00000110001100001100111100010000100010100001110100000100000010111000010101010010,11010100101111110001000000001000011101010010001010111100011011000011000100011000,8,0,0,8.356
1,11000110100000001011000000100000101111000111010100001000011000110000010001100000,00000110111000001111011000011000101011100011110100000100000011111100000101100011,9,0,0,2.306
1,11001110101000010101000000100000101110000110010100001000011100110000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,14.341
1,00000110011100001100111100010000101011100001010100000100000010011100010101010011,01011100111111110111010100000000010101000010101110111100010011100011100000011001,5,0,0,0.524
1,11000110101000111111000001100000101110000111001100001001111000110000111001100000,01011000111111111001000111001000011101100001001110011110010011010011100001011001,4,3,0,5.683
1,00000110001100001100111100010000000011000001110100000100000001110100010101010011,01010100111111110001000100000100011001000000001110111100111011010011000000011000,8,0,0,12.72
1,10001110001000111101000000100000101110000111010100001000111000110000101000100000,,7,0,0,17.619
1,00000000011100001000111100010000101011100011100100000100000011110100010000110010,00001100101111010011000100000000111100000010101110111100010011011011100000000001,8,0,0,0.02
1,11001010101000100011000000100000101110000111010100001000111100000000111001000000,01010100111100010001000111000010011001000010101110111100011011010100000000011001,8,0,0,2.178
1,00001110010100001100011100000000001001100011010100000100000011111100010101110010,01101110101100111111000000101010111011011110010000000000111010110000101001110000,7,1,0,13.482
1,01000110100000011110000000100000101101000101010100001000111000110000011001100000,,9,0,0,22.378
1,10001110100000100011000000100000101101000101010100000000111100110000111001100000,,8,0,0,18.995
1,00000110011100001000101000010000000011100001110100000100000011111100010100100010,01011010111111110001001100001000011101100001001110101000010011001010000000011001,9,0,0,3.069
1,11001110101000111011000000000000101101000111010100001000011100010000110001100000,01101100111101110001000000000000101101000011101110111100011011010010000000111010,6,0,0,0.401
1,11001010001000011111000000100000101110000110000100001000111100010000111101100000,,7,1,0,19.475
1,11001110101000011111000000100000101111000010000100001000111100010000111001110000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,1,1,1.518
1,01001010101000110111000000100000001110000111000100001000111100110000111001100000,,6,0,0,16.258
1,01001100111000111101000000100000000111000011010100001000111100110000110001100000,11001100101111110001000110000011111100000010101100111100010011100111000000010000,7,1,0,1.344
1,01010110001000111111000000100000101110000111010100001000111100110000110001100000,00011010101111110001000100000000011101110001101110111101010011010011100000011000,5,1,0,2.586
1,00000110011100001100110100010000101110100001110000000000000011111100010001110011,00011100111111111001000000000000010101000010111010110111110011010011100000011001,6,1,0,15.456
1,01001110001000111111000000000000100101000111010100001000111100100000110001100000,,7,0,0,19.62
1,11000110101000011111000000000000101111000111010101000000011100110000011000110000,01011000011111101001100000000000111101001010101110111000000010001011000100110001,7,2,0,7.403
1,11001110100000011011000000100000101010000101010100001000111000110000100001100000,,9,0,0,16.251
1,00000110001100001000000100010000101011100011100100000100000011111100010101100011,01011000111111110111000100001000111101110110101110000100010011000010000000010000,7,0,0,2.613
1,00000110011100001000011000010000101011100001100100000100000011101100010101110000,01011100001110110001100100000001011011000010101110011010010011010011101000011001,8,0,0,8.063
1,01001000001000111111000000000000101110000110010100001000111100010000101001100000,,9,0,0,27.868
1,00000110001100001100011100010000101001100011100000000100000011111100010101110011,,5,0,0,9.87
1,00000010001100000100101000010000101001100011110100000100000000111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,8,0,1,20.381
