node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00111001101000000100000010001100000000011100000000001011000011001000011111001101,11110011011100100011001011001011000000110000100001000010001110101011000011100110,9,0,0,0.105
2,01110001101000000100000010001100000000011000000110001011100001110010011111001101,,7,1,0,19.589
3,01000000001000110000000000000000001010000000010000000010000001111000001100000000,,7,2,0,36.109
3,00000000001110000000001000000000001010010000010010000000000000111000001100000000,,7,2,0,36.097
3,00000000111000001010000000000001001000000001110000000000000010000100010000010000,00000100001001010001100000000001011110100100100000010000001010000011100000000011,6,1,0,0.04
3,00001000001011000001000001000000000000010000010000000000000001110000001100000000,,7,1,0,28.329
3,01001000001010100000001001000100000010010000010010000000000000111000001100000000,,4,2,0,22.858
3,00000000011000011000000000000001000000001001010000000010000010000001010000010010,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,0.022
3,00000000010000011100000000000001001000001000010000000010000010000110000000010010,,6,1,0,32.856
3,01000000001010100001000010000100000010110000010010000000000001011000010100000000,00000001101000010111100001010111010000100100100100000000000010000110100000000010,5,3,0,4.499
3,00000000001010000001000001000000001010000000000010000000000101011000001100000000,00000000001010000101001010000000010100100110000000100010001010000110100000000011,7,1,0,28.934
3,01001000000000000001000001000000001010110000000010000100000001110000000100000000,,7,2,0,30.943
3,01001000000000110001000011000000001110000000011010000000000001101000011100000000,,4,4,0,16.651
3,01000000001010100000001001000000001011000000010010000000000001111000011000000000,,4,2,0,22.054
3,00000000000000011110100000000001001000001001010000000010000010000001000000000010,,6,1,0,12.483
3,01001000000011000000000001000000001010010000010010000000000001101000001100000000,00000100101000101111000010000010010100000100100000000000001010000101101010000011,5,1,0,23.956
3,00000000111000000100000000000001001000001001010000000010000010000000000000010000,00000100001000110001000010000010010100010101100000001000000010000101100000000011,7,0,0,0.073
3,00000100110000011100000000000001001000000001010000000010100010000000010000010010,,5,2,0,42.112
3,01001000000010100000000001000000001010000000010010000000000001111000001000000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,9.501
3,01000000000010100001000000000000001010010000000000000000000000111000010100000000,01000000101100111101000000001000000000001001010000010000000010001101001000000010,7,0,0,3.187
3,01001000000010000001000000100000001010010000010010000000000011110000011100000000,00000100111010111111000000000001001000001001010000000100000110010011100000010010,4,2,0,0.802
3,01001000001010100001000000000000001110010000010010010000000011111000001000000000,01001000001010100001000000100000001010010000010010011000001111111000101100000000,3,3,0,6.29
3,01000000000000000001000001000000000010000000000000000000000101111000011100000000,,8,1,0,32.556
3,01001000001010000001000001000000001110010000010010000000000001100000001100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,1,1,0.024
3,00001000000000100001000000000000001010010000010010000000000000111000000000000000,00000100001010010001000000000010011101100100100010000000001010000111000000000000,8,0,0,19.611
3,00001000001010000001000001000000000010000000000010000000000001111000011000000000,01000100001000000101010010001000010000000100000001010000001010001111100100000001,6,0,0,8.285
3,01001000000000000001000001000000000010010000010000001000000001111000010100000000,,6,1,0,24.159
3,00000000001000000000000001000000001010000000010000000000000000111000111100000000,,8,1,0,11.588
3,01001000001011000000000001000000001010000000000010000000000001001000001100000000,00001100101000101101000010000001010100101100000000000000000010000101100000000011,7,1,0,14.715
3,00001000001010100000000001000000000010010000000000000000000001111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,0.311
