node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00001000001011100011100100000100010101010000001010000011011000000010110000011000,00000100101100011101100100100110101010000101000000011011000011010111100001101000,8,1,0,3.97
0,11001000101010000001100100001100010101110100001110000010010000000010010001000000,01000110111000011111110000100111101010000111000010011001000010010000000100101000,8,1,0,5.224
0,00000010001101000010001001000000110000101110101000110000100111000000010100010000,01000100101101011001110000100111101010000111000010001001001011010001100000001000,8,0,0,0.036
0,00000010001101000010010000000000110000101110001000100000100111000111010100010000,01110100001100011101100000100111110010010011000010010000000011110001100000111000,8,0,0,40.224
0,00001010001101000010011000000001110000101110101000000000000111000011010100010000,,7,0,0,32.196
0,00000010001101000010011000000001010000101110111000100000100111000101010100010000,11000100001100110101100000100111100110000101000010011101000011011010100000001000,7,1,0,0.388
0,00011010001001000010001001000001010000101110111000010001100110000011010100010000,01001101001000001101011011100111101110000101000010001001000011010100101001101000,7,2,0,6.318
0,00010000001101000010011001000001110000101110101000100000000110000111010000010000,00000100001100111101100000000101101010000111000010011001000011111001100011000100,7,0,0,12.157
0,00011010001101000010011101000001010000101110101000100000100110000110010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,1,1,0.662
1,11001110101000110110000000100000101111000101010100011000111100110000111001100000,01011100111111110001000100001000111101000111101110111110011011000011100000011001,3,1,0,6.281
1,11001110101000111010000001100000101111000011010000001000011100110000110000100000,,7,1,0,22.451
1,00000010011100001100111100000000100001100011100100001100000011111100010100010011,01000100111111111011001100101010111001000010001110111100000011000011100010001001,7,1,0,9.065
1,00000110000100001100110100010000101011100011100100000100000001110100010001110011,,7,0,0,28.388
1,00000110011100001100011100010000101011100001110000000100000001110000010101110010,,7,0,0,19.534
1,11001110101000111111000001100000101100000011010100011000011000110000110001100001,11011100111111110101000110000001001101100011101110011000011011000111001000011001,6,3,0,0.186
1,01001100100000101111000000100000101110000111000100001000111100010000111001100000,,7,0,0,27.109
1,10001110101000111110000000100000101011000111010100001000111000010000111100000000,11100000011111000011001000111011110101000010101100011000100010001111101000111010,7,1,0,3.843
1,00000110011100000100111100010000101011100001110100000000000010000100010100110001,01001100111000010011000000000001111101000110001110111110010011000001000000011001,9,0,0,16.388
1,00000110001100001100111100010000100011100001100100000100000001011000010001110011,00011100111101110101000100000000011001010010001110111000110011000011000000011000,8,0,0,10.845
1,00000100001100001100111110010000111101100011110100000110000011111000110101110011,,4,5,0,14.176
1,00000010011100001111011100000000101011100011110100000000000001110000010101110011,,7,2,0,27.905
1,00000110001100001101110000000000101010100011110100000100000011111100010101110001,,6,1,0,19.522
1,11001100000000111110000000100000101111000111010100001001111100110000110001100000,,5,1,0,27.153
1,11001110101000011111000000100000100110000110010100001000101100110000110001100000,01111101111111110001000110000010011001100010100110110100011011000011000000111000,6,0,0,20.494
1,01001110101000111110000010110000101111000111010000001000110000110000011001100000,,6,2,0,23.792
1,00000000000100001100011100010000100011100001110000000100000011111000010101110011,,9,0,0,32.104
1,00000100011100001100010100010000101001100001110100000100000001101100000001110011,,9,0,0,20.635
1,00000110011100001100011100010000101011000001111110000100000011011100000001110011,,6,2,0,20.77
1,11001100101000101111000000100000101101000111010100001000111000010000011001000000,01001100111111010001000100000001101101000010101110111100010011000010100000011001,7,0,0,0.027
1,11001110101000111111000011100000111110000111000100001001011000100000111001100000,01011100111111110001010111000000011111100010001110011010011011010001100000011111,5,4,0,0.033
1,00000010011100001000101100010000100011100011010100000100000001111000010101010011,01010100111111110001000100001000110101000010001110101000110011000011000000001001,8,0,0,18.308
1,00000100001100001100111100000000101000000011110100000100000001110100000101110011,,9,0,0,29.989
1,00000110011000000100011100010000101011000011110000000100000001011100010101110011,01011100111101110101000100010000111100100110101110011100010010000001001000011001,7,0,0,3.661
1,11001100101000010111000001100000101110000111010100000000111100110000111001000000,01001100111110100101001110000000011111110101101110111100000011000011000000001001,6,1,0,4.966
1,11001010101000111100000001100000101101000111111000001000111100010000111001100000,,6,3,0,13.933
1,00000010001100001100011100010000101011100001110100000100000010111100010001110011,01011100111111110001010100000000111101000010101110111100110111010011000000001000,6,0,0,3.026
1,00000110011100010100110111110000111011100011110100000100000011111100010101110011,,2,5,0,14.18
1,10000100101000001110000000100000101111000111010100001000111000110000111001100000,,7,0,0,20.529
1,11001110101000101010000000100000101111000110010100011000111000110000111111000000,,6,3,0,18.007
1,11001100101000000111000000100000100110000111010100001000111100110000110000100000,01001100111110101101000101000000011001000010101110111100011011000011001001010000,8,0,0,1.464
1,11001110101000111111000000100000100111000111110100001000111100110000110011100000,,2,2,0,22.499
1,11000100001000111111000000100000100111000111010100001000101100010000110001000000,00001011111111111101000100001001111001000110101110111100010011000010000000001000,8,0,0,6.594
1,11001110101000101111000000100000101111000101010100000000111100010000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,0.027
1,01001110000000011101000000000000001110000111010100001000111000110000111001100000,,9,0,0,29.209
1,11001110101000111111000000110000101111000011011100001000011100100000110001100000,,4,2,0,24.142
1,11001100101000001011000000100000101110000110010000001000111100010000110001100000,01001100111101000001010100000001011101000000100110111001010011010010100000011100,9,0,0,0.033
1,11001110101000011010000000100000001111000010010100001001111100110000110001100000,01011100111101100001000100010000111100100010101100011110010011000011100000011001,7,1,0,25.104
1,01001110101000111111000000100000101111000011000000001000111000110000110000000000,01011100101111110011000100000000111101110000101100011100000011011111000000000000,8,0,0,10.524
1,11001110101000111011000001100000101111000110100100001000101000110000110001000000,01011100111111110101000110000010111101000010011110010100010111000111100000101000,7,2,0,19.865
1,11001110001000001111000000100000101110000111000100001100110000110000111001100000,00011100111111000001000100001010111101000010001110011100010011011111000000011001,7,1,0,10.394
1,01001110100000011001000001000000101111000111010100001000011100110000111001100000,,7,1,0,22.302
1,01001110001100011011100000100000111111000111010100001000110100110000111001100000,01011100101101111011000100000100111101000010101110101100011011100011100000011001,5,3,0,6.292
1,11001110101000111011000000100000101101000000010000001000111100110000110001000000,00011101111101110001000100000000101111000000100000111100010011000111101000001000,8,0,0,9.896
1,00000010011100001100111100010000101011000011110100000100000011111100010101110000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.022
1,11000110001000111001000000100000001111000111010100001000011000110000111001100000,00111000101001110011010100000100111101010010101110011000010011100011000000011001,7,0,0,8.911
1,01101110101100011110000000100000111101000111010100001000111000110000111001100000,,5,3,0,21.475
1,11001100000000111110000000101000101100000111010100001000111100100000110001100000,,8,1,0,30.504
1,00000110011100011100111100010000101011000011110000001100000001110000010101110000,01011100001111110011001101000011111100000010101100111100010011100111000000011001,7,2,0,4.96
1,11001100101000111101000000000000001111000111010000001000101100110000000001100000,01001100111011110001010001000001111010000000101110110100011010000011000000011001,9,0,0,3.632
1,00000110001100000100111100010000101111100011110100000110000011111100010101110011,,2,2,0,21.287
1,00000110001110001100011100010000101011100011110100000100000010111100010000100000,,8,1,0,28.296
1,11001110101000011101000000100000101110000111000000001000111100110000111000000000,01111110111011100001000100000100011101000000001110111100001011001011000000000101,7,0,0,6.746
1,11001010101000101101000000000000100110000111010100001000111100110000011001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,0.352
1,00000110011100000100010100010000101011100011110000000100000011110000000101100011,01011000111111000001010100001000111100000010101111010100111011000001100000011001,8,0,0,0.035
1,00000110011000001100111100110000101010000001110100000100000000111100010101100011,,7,1,0,22.693
1,11000110101000111111000000000000101110000101010100001000111100110000010001100000,11011000111111110001000000000000111111100010101010111100011010100111000000011000,6,0,0,0.246
1,11001110001000001110000000100000001011000101010100000000111100110000111001100000,,8,0,0,34.285
1,00000110001000001100001100000000001011100001110100000100000001111000010101110011,01011100111111101001000100000000111101000000101110011100010011000111000000010000,9,0,0,1.541
1,10001110001000011111000000100000101100000111011100001000111000010000101001100000,10011100111111100101000100000001001101100011101110011100010011011010000000011001,8,1,0,0.429
1,11001110101000111111000000000000101010000111000100011000111100010000111000100000,,6,1,0,29.16
1,00000110001100001100011100010000101011100011110100000100000011111100010101100011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,3,0,1,4.611
1,00000110011000001100110000010000100010100001110100000100000000110100010101110011,,9,0,0,25.546
1,11001110101000011111000000000000101111000110000100001000111100010000010001000000,01001110111111100001000000010000111101000010001110111100010010011011000000101000,8,0,0,18.902
1,01001110101000011011000000100000001111000111010100011000111100110000111001000000,,5,1,0,15.961
1,00000110011100001100111100010000101011100000010100000000000011111000010101110011,01011100111111110111010100000000010101000010101110111100010011100011100000011001,5,0,0,0.616
1,11001100001000111111000000100000101111000010010000001000111000110000000001100000,,9,0,0,19.679
1,00000100001100001100001100010000001011100011110100000000000011111000010100100011,01011100111111101001000100000000111101000000101110011100010011000111000000010000,9,0,0,19.383
1,00000110011100001000111100010000100011010001110100000000000001111000010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,1,1,8.283
1,00000110011100001100000000010000101001100011110100000100000011110000010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,0.041
1,00000110011100001100111100010000001011000010110100100100000011111000000101100011,,6,1,0,21.25
1,11001110101000000111000000100000101111000111010100000000111110110000011001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,1,1,9.049
1,00000110011100001100111110011000101011100001110100000100000011111100000101110010,01011100111111110001000100001000111101000111101110111110011011000011100000011001,3,2,0,16.344
1,00000110011100001000101100010000101111100001110100000100000010011100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,1,1,0.027
1,11001110101000011100000000000000101110000111010100001000111000010000010001100000,,9,0,0,34.405
1,01000110001000011111000010100000111111000111010111000000111100110000111001100000,00011000111111111001100101000100111111001110101110111100000111000011000000111001,5,4,0,18.058
1,11000110101000111011000000100000101111000111010100001000111100000000010001000000,01011000111101110001010100000000111111100010101111111101110110000010000000001000,7,0,0,0.85
1,11001110101000011101000000110000101111000010010100001000111100110000010001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,1,1,10.921
1,01000110101000010010000000100000101011000110010100001000101100110000111001100000,,9,0,0,23.763
